"LocationDesc","DataValue"
"Alaska","22"
"Alabama","31.3"
"Arkansas","30.2"
"Arizona","27.7"
"California","20.3"
"Colorado","28.1"
"Connecticut","28.6"
"District of Columbia","24.3"
"Delaware","24.4"
"Florida","25.6"
"Georgia","29.4"
"Hawaii","14.9"
"Iowa","27.5"
"Idaho","26.9"
"Illinois","22"
"Indiana","29.8"
"Kansas","28.2"
"Kentucky","32.3"
"Louisiana","24.7"
"Massachusetts","30.5"
"Maryland","23"
"Maine","30"
"Michigan","28.9"
"Minnesota","23.7"
"Missouri","29.3"
"Mississippi","29.3"
"Montana","30.7"
"North Dakota","22.4"
"North Carolina","29.6"
"Nebraska","26.1"
"New Hampshire","31.2"
"New Jersey","19.6"
"New Mexico","30.7"
"Nevada","23"
"New York","24.9"
"Ohio","26.8"
"Oklahoma","32.6"
"Oregon","34.9"
"Pennsylvania","31.1"
"Rhode Island","30.9"
"South Carolina","30.9"
"South Dakota","22.7"
"Tennessee","31.8"
"Texas","23.1"
"Utah","31.1"
"Virginia","26.5"
"Vermont","29.2"
"Washington","32.2"
"Wisconsin","28.9"
"West Virginia","32.2"
"Wyoming","30"
