Region,Causes, Both sexes (2012), Female (2012), Male (2012), Both sexes (2000), Female (2000), Male (2000),Group
Upper-middle-income, Communicable &amp; other Group I,1736464,796685,939779,2199363,982624,1216739,LargeSubgroup
Upper-middle-income, Infectious and parasitic diseases,778893,335085,443808,948265,390003,558262,Subgroup
Upper-middle-income, Tuberculosis,116108,38509,77599,196927,65408,131519,Inf.Para
Upper-middle-income, STDs excluding HIV,8469,4769,3700,12704,6685,6019,Inf.Para
Upper-middle-income, Syphilis,6932,3236,3696,10872,4854,6018,Inf.Para
Upper-middle-income, Chlamydia,294,290,4,359,359,0,Inf.Para
Upper-middle-income, Gonorrhoea,216,215,1,267,266,1,Inf.Para
Upper-middle-income, Trichomoniasis,0,0,0,0,0,0,Inf.Para
Upper-middle-income, Other STDs,1030,1030,0,1205,1205,0,Inf.Para
Upper-middle-income, HIV/AIDS,336649,145383,191266,293320,120151,173169,Inf.Para
Upper-middle-income, Diarrhoeal diseases,90121,44866,45255,166168,77124,89044,Inf.Para
Upper-middle-income, Childhood-cluster diseases,12077,4735,7342,24731,9714,15017,Inf.Para
Upper-middle-income, Whooping cough,4830,1453,3377,4944,1503,3441,Inf.Para
Upper-middle-income, Diphtheria,104,46,58,325,154,171,Inf.Para
Upper-middle-income, Measles,3660,1826,1834,10220,4427,5793,Inf.Para
Upper-middle-income, Tetanus,3489,1414,2075,9240,3631,5609,Inf.Para
Upper-middle-income, Meningitis,38479,17564,20915,56024,23942,32082,Inf.Para
Upper-middle-income, Encephalitis,4182,1848,2334,8579,3634,4945,Inf.Para
Upper-middle-income, Acute hepatitis B,41571,16243,25328,44309,16109,28200,Inf.Para
Upper-middle-income, Acute hepatitis C,5860,2861,2999,2563,1200,1363,Inf.Para
Upper-middle-income, Parasitic and vector diseases,44820,21640,23180,62390,29608,32782,Inf.Para
Upper-middle-income, Malaria,22111,11287,10824,24087,12702,11385,Inf.Para
Upper-middle-income, Trypanosomiasis,198,102,96,14152,6657,7495,Inf.Para
Upper-middle-income, Chagas disease,7651,3338,4313,8666,3601,5065,Inf.Para
Upper-middle-income, Schistosomiasis,3282,1717,1565,6653,3180,3473,Inf.Para
Upper-middle-income, Leishmaniasis,2700,1162,1538,5042,1923,3119,Inf.Para
Upper-middle-income, Lymphatic filariasis,0,0,0,1,1,0,Inf.Para
Upper-middle-income, Onchocerciasis,0,0,0,2,0,2,Inf.Para
Upper-middle-income, Leprosy,1448,576,872,384,123,261,Inf.Para
Upper-middle-income, Dengue,3870,1632,2238,1073,367,706,Inf.Para
Upper-middle-income, Trachoma,0,0,0,0,0,0,Inf.Para
Upper-middle-income, Rabies,3565,1828,1737,2336,1055,1281,Inf.Para
Upper-middle-income, Intestinal nematode infections,431,220,211,694,339,355,Inf.Para
Upper-middle-income, Ascariasis,430,219,211,687,336,351,Inf.Para
Upper-middle-income, Trichuriasis,0,0,0,0,0,0,Inf.Para
Upper-middle-income, Hookworm disease,1,1,0,6,1,5,Inf.Para
Upper-middle-income, Other infectious diseases,80125,36445,43680,79869,36098,43771,Inf.Para
