user_score;publisher;title;genre;score;release;platform
;;! That Bastard Is Trying To Steal Our Gold !;;;May 11, 2014;pc
;;"""Glow Ball"" - The billiard puzzle game";;;Jul 20, 2015;pc
;;"""You have a choice. Make it.""";;;Jul 23, 2014;pc
3.8;;'dillos;;;Oct 22, 2012;pc
5.2;;//N.P.P.D. RUSH//- The milk of Ultraviolet;;;Feb 13, 2014;pc
;;//SNOWFLAKE TATTOO//;;;Mar 27, 2015;pc
2.2;Activision;007 Legends;Action,Shooter,First-Person,Modern,Shooter,Modern,Arcade;26;Nov 1, 2012;pc
6.3;Electronic Arts;007: NightFire;Action,Shooter,First-Person,Modern,Shooter,Modern,Arcade;59;Nov 28, 2002;pc
6.5;Activision;007: Quantum of Solace;Action,General,Shooter,First-Person,Modern,Shooter,Modern,Arcade;70;Nov 4, 2008;pc
;;0RBITALIS;;73;May 28, 2015;pc
;;1,000 Heads Among the Trees;;;Dec 11, 2015;pc
2.6;;1... 2... 3... KICK IT! Drop That Beat Like an Ugly Baby;;;Apr 1, 2011;pc
;;10 Days to Save the World: The Adventures of Diana Salinger;;;Sep 28, 2009;pc
;;10 Days Under the Sea;;;Jun 29, 2008;pc
;;10 Min Space Strategy;;;Jul 20, 2011;pc
8.6;;10 Second Ninja;;72;Mar 5, 2014;pc
;;10 Talismans;;;Sep 7, 2006;pc
;;10 Years After;;;Jan 30, 2015;pc
7.3;;10,000,000;;67;Jan 15, 2013;pc
;;100% Hidden Objects;;;Apr 14, 2013;pc
7.7;;100% Orange Juice;;;May 16, 2014;pc
;;100,000 Games;;;Dec 7, 2009;pc
7.4;;1000 Amps;;;Feb 22, 2012;pc
;;1001 Jigsaw Earth Chronicles;;;May 20, 2014;pc
;;1001 Jigsaw Earth Chronicles 2;;;Aug 21, 2014;pc
;;1001 Nights: The Adventures of Sindbad;;;Jan 27, 2010;pc
5.8;;1001 Spikes;;80;Jun 3, 2014;pc
;Empire Interactive;101 Airborne: The Airborne Invasion of Normandy;Strategy,General;;Sep 30, 1998;pc
;;101 Bally Slots;;;Sep 1, 2004;pc
;;101 Bunny Pets;;;Feb 29, 2008;pc
;;101 Pony Pets;;;Jun 13, 2008;pc
;;10Six;;;Feb 27, 2000;pc
9.8;;12 is Better Than 6;;;Nov 20, 2015;pc
8.6;;12 Labours of Hercules;;;Oct 30, 2013;pc
;;12 Labours of Hercules II: The Cretan Bull;;;Jul 17, 2014;pc
;;12 Labours of Hercules III: Girl Power;;;Dec 31, 2014;pc
;;12 Labours of Hercules IV: Mother Nature;;;Dec 25, 2015;pc
;Take-Two Interactive;12 O'Clock High: Bombing the Reich;Simulation,Flight,WWII;;Nov 30, 1999;pc
;;123 Slaughter Me Street;;;Sep 25, 2015;pc
7.3;;140;;80;Oct 16, 2013;pc
5.6;;15 Days;;63;Jun 25, 2010;pc
;;15 Defense. Underwater Battle;;;Jan 10, 2015;pc
7.4;Electronic Arts;1503 A.D. - The New World;Strategy,Real-Time,Historic,General,Historic;74;Mar 23, 2003;pc
;;16 Bit Arena;;;Mar 24, 2015;pc
;;16 Bit Runner Full Throttle;;;Feb 1, 2015;pc
;;16bit Trader;;;Jun 4, 2015;pc
8.3;Aspyr;1701 A.D.;Strategy,Real-Time,Historic,General,Historic;79;Nov 6, 2006;pc
;Aspyr;1701 A.D. Gold Edition;Strategy,Real-Time,Historic,General;;Jul 24, 2008;pc
6.9;ValuSoft;18 Wheels of Steel: American Long Haul;Simulation,General,General;;Dec 3, 2007;pc
;;18 Wheels of Steel: Big City Rigs;;;Apr 1, 2009;pc
;;18 Wheels of Steel: Convoy;;;Sep 1, 2005;pc
8.3;;18 Wheels of Steel: Extreme Trucker;;;Oct 2, 2009;pc
8.3;;18 Wheels of Steel: Extreme Trucker 2;;;Jan 6, 2011;pc
;ValuSoft;18 Wheels of Steel: Haulin';Driving,Racing,Truck,Truck;;Dec 8, 2006;pc
9.1;ValuSoft;18 Wheels of Steel: Pedal to the Metal;Driving,Racing,Truck,Truck;;Aug 30, 2004;pc
;;1849;;60;May 8, 2014;pc
;;1849: Gold Edition;;;Jul 31, 2015;pc
;Illuminated Lantern;1893: A World's Fair Mystery;Adventure,Text;;Feb 3, 2003;pc
;Strategy First;1914 Shells of Fury;Simulation,Submarine,Submarine;;Aug 14, 2007;pc
;;1916 - Der Unbekannte Krieg;;;Apr 10, 2011;pc
;;1931: Scheherazade at the Library of Pergamum;;;Mar 26, 2015;pc
6.4;;1953 - KGB Unleashed;;;Sep 20, 2013;pc
;;1953: NATO vs Warsaw Pact;;;Dec 4, 2014;pc
