,Good,Bad,DK,Categorization
United States,67,16,1,Advanced
Canada,82,16,1,Advanced
Britain,65,33,1,Advanced
France,58,42,0,Advanced
Germany,77,22,1,Advanced
Italy,46,51,3,Advanced
Greece,15,85,0,Advanced
Poland,44,52,4,Advanced
Czech Republic,58,41,1,Advanced
Russia,44,48,7,Emerging
Turkey,52,46,1,Emerging
Egypt,21,79,1,Developing
Jordan,30,69,3,Developing
Lebanon,30,70,0,Developing
Palest. ter.,48,50,2,Developing
Tunisia,42,57,1,Developing
Israel,59,38,3,Advanced
Australia,77,23,1,Advanced
China,67,29,3,Emerging
Indonesia,57,43,0,Emerging
Japan,38,58,4,Advanced
Malaysia,82,17,0,Emerging
Pakistan,59,39,2,Developing
Philippines,76,24,0,Developing
South Korea,40,57,3,Advanced
Argentina,56,42,3,Emerging
Bolivia,68,27,6,Developing
Brazil,74,26,0,Emerging
Chile,57,42,1,Emerging
El Salvador,45,55,0,Developing
Mexico,48,52,0,Emerging
Venezuela,63,36,0,Emerging
Ghana,46,52,1,Developing
Kenya,50,48,1,Developing
Nigeria,49,51,1,Developing
Senegal,61,39,1,Developing
South Africa,52,48,1,Emerging
Uganda,43,56,1,Developing
