"","country","population","natural.gas.consumption","coal.consumption","CO2.emission"
"1","Afghanistan","28.39572","0.00111","0.0009","0.83075"
"3","Albania","2.98254","0.00111","0.0004","4.53779"
"4","Algeria","34.17819","1.14449","0.01639","113.46032"
"5","American Samoa","0.06563","0","0","0.67919"
"6","Angola","12.79929","0.02551","0","23.86567"
"7","Antarctica",NA,"0","0","0.31105"
"8","Antigua and Barbuda","0.08563","0","0","0.68826"
"9","Argentina","40.91358","1.59205","0.05299","165.9243"
"10","Armenia","2.967","0.05731","0.00111","11.34904"
"11","Aruba","0.10307","0","0","1.1169"
"13","Australia","21.26264","1.16137","2.35181","417.68147"
"14","Austria","8.21028","0.31587","0.11663","69.24066"
"15","Azerbaijan","8.23867","0.38186","0","34.92248"
"16","Bahamas, The","0.30755","0","0","5.23557"
"17","Bahrain","0.72871","0.46145","0","31.00852"
"18","Bangladesh","153.70033","0.70325","0.02618","55.1267"
"19","Barbados","0.28459","0.00108","0","1.42913"
"20","Belarus","9.64853","0.65066","0.00366","60.5791"
"21","Belgium","10.41434","0.66616","0.12384","137.36074"
"22","Belize","0.3079","0","0","0.98287"
"23","Benin","8.79183","0","0","3.50445"
"24","Bermuda","0.06784","0","0","0.78151"
"25","Bhutan","0.69114","0","0.0021","0.33431"
"26","Bolivia","9.77525","0.10444","0","13.62321"
"27","Bosnia and Herzegovina","4.61341","0.00736","0.18712","18.35557"
"28","Botswana","1.99088","0","0.01901","4.53336"
"29","Brazil","198.73927","0.68754","0.37804","425.16925"
"30","Brunei","0.38819","0.09207","0","7.57752"
"31","Bulgaria","7.20469","0.07274","0.26173","44.49153"
"32","Burkina Faso","15.74623","0","0","1.4139"
"33","Burma (Myanmar)","52.82612","0.12097","0.00551","12.55207"
"34","Burundi","9.51133","0","0","0.36946"
"35","Cambodia","14.20623","0","0","3.92644"
"36","Cameroon","18.8793","0.00074","0","7.48692"
"37","Canada","33.48721","3.20843","1.14314","540.9669"
"38","Cape Verde","0.50118","0","0","0.33926"
"39","Cayman Islands","0.04904","0","0","0.42844"
"41","Central African Republic","4.74192","0","0","0.29557"
"42","Chad","10.32921","0","0","0.2909"
"43","Chile","16.60171","0.09774","0.19285","62.55289"
"44","China","1323.59158","3.26591","63.27869","7706.82639"
"45","Colombia","43.67737","0.2851","0.12985","70.18943"
"46","Comoros","0.75244","0","0","0.14957"
"47","Republic of the Congo","4.01281","0.0196","0","6.31642"
"48","Democratic Republic of the Congo","68.69254","0","0.00888","2.64264"
"49","Cook Islands","0.01187","0","0","0.15099"
"50","Costa Rica","4.45505","0","0.00285","6.82324"
"51","Cote dIvoire (IvoryCoast)","20.61707","0.05656","0","6.52288"
"52","Croatia","4.48941","0.09619","0.02101","21.27542"
"53","Cuba","11.45165","0.04289","0.00072","30.4889"
"54","Cyprus","1.08475","0","0.00055","9.45714"
"55","Czech Republic","10.2119","0.29567","0.52096","95.32367"
"56","Denmark","5.50051","0.17404","0.16803","49.55846"
"57","Djibouti","0.72462","0","0","1.76389"
"58","Dominica","0.07266","0","0","0.14121"
"59","Dominican Republic","9.69079","0.02071","0.022","19.80846"
"60","Ecuador","14.5731","0.01359","0","27.55005"
"61","Egypt","78.86664","1.64057","0.03108","189.53097"
"62","El Salvador","6.0306","0","0","5.93183"
"63","Equatorial Guinea","0.63344","0.05731","0","4.60244"
"64","Eritrea","5.64717","0","0","0.77543"
"65","Estonia","1.29937","0.02308","0.11633","17.55665"
"66","Ethiopia","85.23734","0","0","6.88336"
"67","Eurasia","283.28968","21.72578","6.62539","2338.25184"
"68","Europe","604.06725","19.87395","12.64441","4307.28538"
"69","Falkland Islands (Islas Malvinas)","0.00314","0","0","0.04578"
"70","Faroe Islands","0.04886","0","0","0.74437"
"71","Fiji","0.8685","0","0.00031","2.22598"
"72","Finland","5.25028","0.15362","0.14684","52.15049"
"77","France","62.98296","1.79536","0.44461","396.65184"
"78","French Guiana","0.19131","0","0","1.11997"
"79","French Polynesia","0.28703","0","0","1.06846"
"80","Gabon","1.51499","0.00296","0","4.59193"
"81","Gambia, The","1.77808","0","0","0.43655"
"82","Georgia","4.61581","0.06286","0.00586","5.27006"
"83","Germany","82.32976","3.29233","2.95533","765.56177"
"86","Ghana","23.88781","0","0","8.09954"
"87","Gibraltar","0.0288","0","0","4.37652"
"88","Greece","10.73743","0.12957","0.33439","100.37339"
"89","Greenland","0.0576","0","0","0.61114"
"90","Grenada","0.1072","0","0","0.30054"
"91","Guadeloupe","0.44452","0","0","2.23289"
"92","Guam","0.17843","0","0","1.71221"
