"","id","name","genres","group","n_edges","bio","top_track_id","top_track_name","top_track_preview_url","image"
"1","0B3N0ZINFWvizfa8bKiz4v","James TW","","initial",20,"James Taylor-Watts (born October 27, 1997) is a British singer-songwriter. He uses the stage name of James TW. From 2010 on, James posted cover and original songs on his YouTube channel. Shawn Mendes took notice of James in early 2015 and recommended him to his record label. In summer 2015, James announced that he signed a contract with Island Records. On April 15, 2016, James released his debut EP titled First Impressions. <a href=""https://www.last.fm/music/James+Tw"">Read more on Last.fm</a>","1o6YK7phnXgsljfWSQQfWc","When You Love Someone","https://p.scdn.co/mp3-preview/de382e4f90bb01e8db51a49d87c46cf979d81025","https://i.scdn.co/image/df53cbebf5f0983b8053a201530968687f8becc3"
"2","2T9pR6zAB5dUpBOJ1m6Chw","Shane Alexander","acoustic pop","initial",25,"L.A.-based solo artist Shane Alexander is back with Stargazer, the follow up album to his critically acclaimed 2005 independent release, The Middle Way. 
 
The new album, produced by Heroes & Villains, features some of Los Angeles' most respected musicians – Charlie Paxon (James Blunt, Colin, Hay, Anastasia) on drums, Billy Mohler (Macy Gray, Liz  Phair, Herbie Hancock) on bass,  Krister Axel on piano, Chris Pierce on harmonica, and veteran session ace Kim Bullard (Tori Amos, Goo Goo Dolls, David Crosby, Eddie Money) on Hammond organ. <a href=""https://www.last.fm/music/Shane+Alexander"">Read more on Last.fm</a>","7zhxXSGNMVuWMOsFLq1r9h","Skyway Drive-In","https://p.scdn.co/mp3-preview/6a4ae85a2c7cabd6bc7aefd2a0ed6f01b325ea9a","https://i.scdn.co/image/0041d2edcef21394dfb3fa8adb296bb52d528164"
"3","2BOmYSLzDLBTiBDNYWXN3j","Chris Trapper","acoustic pop","initial",31,"Chris Trapper is a musician based in Boston, Massachusetts who is most known as the lead singer of the band, The Push Stars. With The Push Stars, Trapper wrote material for four studio albums and three self-produced discs. Several of his songs have been picked up for major motion picture soundtracks including ''There's Something About Mary'' and ''Say It Isn't So'' and for television shows such as Pepper Dennis, ER, and Malcolm in the Middle.

His 2002 solo project ""Songs from the Drive-In"" showcased ""his formidable storytelling talents <a href=""https://www.last.fm/music/Chris+Trapper"">Read more on Last.fm</a>","3ldONNW2S58ErqZHs4PvW3","Angel Appearing in a Small Cafe","https://p.scdn.co/mp3-preview/028ceb166f700218d5ed55ad31822648302dcdf0","https://i.scdn.co/image/33754295febaf334097082b6c63f7030b81af903"
"4","4TCXgdDPm10ensLNCVnIYa","Joy Williams","acoustic pop, ccm, christian alternative rock, christian christmas, christian music, neo mellow, worship","initial",22,"Joy Williams born Nov. 14th 1982 is a vocalist, melodist, and lyricist. 

Williams grew up in Santa Cruz, CA. At 17, she signed a recording contract with PLG/SonyBMG and moved to the friendly, muggy town of Nashville, TN. She co-wrote and recorded several albums and realized after 7 years of being on the road full time that it was song-writing that kept tugging at her heart. Williams is now signed as a full-time writer with Judy Stakee at Warner/Chappell in LA and is with ASCAP. <a href=""https://www.last.fm/music/Joy+Williams"">Read more on Last.fm</a>","3ZoUHWKD8piei0TAkDEcnU","We Can Never Go Back - Acoustic","https://p.scdn.co/mp3-preview/d34b478b42d9487a675ee2c8a915d777bf89a389","https://i.scdn.co/image/aa061eed272e0ac1d907f8db67d7a5eb6b0389bd"
"5","5AeRH22anky1sdX7VTwa1r","Jilian Linklater","indiecoustica","initial",20," <a href=""https://www.last.fm/music/Jilian+Linklater"">Read more on Last.fm</a>","2Czht93zCNSjyqzcmMAsxQ","Walking Stories","https://p.scdn.co/mp3-preview/59f9dfc1ac0f82249bfa61804333e8b0c84ef77d","https://i.scdn.co/image/6bc6db39ddb423c1aece48a61febe099ad32ae22"
"6","41FEVJCBGidsJwbjq0KfgM","William Fitzsimmons","acoustic pop, folk-pop, indie folk, neo mellow, stomp and holler","initial",21,"William Fitzsimmons (born 1978) is an American singer-songwriter, based in Illinois/. He is perhaps best-known for his songs ""Passion Play"" and ""Please Don't Go"", which aired during pivotal scenes in the TV medical drama Grey's Anatomy.

Fitzsimmons was raised in the outskirts of the steel city of Pittsburgh, Pennsylvania, the youngest child of two blind parents. Due to the family's inability to communicate through normal visual means, Fitzsimmons' childhood home was filled with a myriad of sounds to replace what eyes could not see. <a href=""https://www.last.fm/music/William+Fitzsimmons"">Read more on Last.fm</a>","0otWa3vl6k8wTh7LOk3K1g","I Kissed A Girl","https://p.scdn.co/mp3-preview/8adb9b3b70355039260b5e048063eecf9e40cae2","https://i.scdn.co/image/1eba61f7277a6930cd53f36ede2557e698bf5cfd"
"7","1ox8Ch0uaAeuJvVyKO8Okg","Ciele","","initial",20," <a href=""https://www.last.fm/music/Ciele"">Read more on Last.fm</a>","7k2lqQ4Vt9435X24qUISki","Daydream","https://p.scdn.co/mp3-preview/db320fd9db78da2fe97dad2fcc09298ccf105b0e","https://i.scdn.co/image/1e44fdfba52465f83cdcaa279c11d106896b2d97"
"8","3RKOByto5bCzCDjK5ViM6w","Chris Ho","","initial",20,"In his reclusive years, Chris Ho spent his time writing and recording at his home in Victoria, BC. Performing live on only the rarest occasions, Chris never hesitated to hand out his music to friends and strangers. He continued this pattern until a faithful fan base began to emerge with signed CDs and eager ears, forcing him out of a shell and onto a stage.

And so he did.

The traditionally introverted singer-songwriter began to grow an exhibitionist streak. <a href=""https://www.last.fm/music/Chris+Ho"">Read more on Last.fm</a>","5Z3IYV32Xetzu07fF4EFOr","Story of the Flood","https://p.scdn.co/mp3-preview/2e874dd3a29ac4819fb45cf54f281691a10f5722","https://i.scdn.co/image/f8fd33eabbed6cfb58d0370907c0881ce49686f4"
"9","1Hsdzj7Dlq2I7tHP7501T4","Niall Horan","","initial",20,"Niall James Horan, known simply as Niall Horan (born 13th September 1993), is a singer-songwriter and musician from Mullingar, Ireland. He is a member of four-piece (former five) boyband, One Direction (formed in 2010). Before he competed in the UK and Ireland singing competition ""The X Factor"", he played numerous gigs around the country including as a support act for Lloyd Daniels (in Dublin). 

He then took up the challenge of applying to the X Factor 2010 whereby he entered as a solo artist. <a href=""https://www.last.fm/music/Niall+Horan"">Read more on Last.fm</a>","5dTJMpqiELczVuHJP3OAEu","This Town","https://p.scdn.co/mp3-preview/07156cbdc223ea2135d3ffe67189278f5a1019a7","https://i.scdn.co/image/7af45a41a48e39bf1e7949ef45847f50e1449432"
"10","2PCUhxD40qlMqsKHjTZD2e","Parachute","acoustic pop, neo mellow, pop, pop rock, viral pop","initial",20,"There is more than one band with this name:

1.) Original Parachute was founded as a project in 2000 in Germany, focussing on ambient, drone, experimental and space sounds, and processed music, their musical roots are resulting out of krautrock, ambient, minimal drones, and soundscapes like Thomas Köner and earlier electronic music like Morton Feldmann, Klaus Schulze, John Cage etc… Group members are c_drive and triPhaze. The official site of Parachute is at the privatelektro record label. <a href=""https://www.last.fm/music/Parachute"">Read more on Last.fm</a>","2Dz5WpEWA0vhnMmEPYiZ2y","She Is Love","https://p.scdn.co/mp3-preview/9858fb252ea96249fa32ea62c33a0938b28d3846","https://i.scdn.co/image/c45b163ac4663d5a7f7b3ae45dec411fe5ed0531"
"11","3Dd1WVQvZUgyi9XEqOIPhA","Austin Basham","","initial",21," <a href=""https://www.last.fm/music/Austin+Basham"">Read more on Last.fm</a>","700xxgbIpH0YNMideY7sWR","All Is Well","https://p.scdn.co/mp3-preview/fcf6218ba0c79133f31c55ae6646469bb4fa0c66","https://i.scdn.co/image/f1aaff3c5feabdbade8fa9f76404c64b154c8b13"
"12","4M5nCE77Qaxayuhp3fVn4V","Iron & Wine","anti-folk, chamber pop, folk-pop, freak folk, indie folk, indie pop, indie rock, lo-fi, neo mellow, new americana, singer-songwriter, slow core, stomp and holler","initial",24,"Iron & Wine is the stage and recording name of folk rock singer and composer Sam Beam (born July 26, 1974). He currently resides in Dripping Springs, Texas, outside Austin.  He  has released four studio albums, several EPs and singles, as well as a few download-only releases, which include a live album (a recording of his 2005 Bonnaroo performance). The name Iron & Wine is taken from a dietary supplement named ""Beef Iron & Wine"" that he found in a general store. <a href=""https://www.last.fm/music/Iron+&+Wine"">Read more on Last.fm</a>","2gUSIsapdX6jEJ0DvjqTt2","Naked As We Came","https://p.scdn.co/mp3-preview/6498f084c1fd671c8fb2fc294c970eb2e4c63ea4","https://i.scdn.co/image/2bd13b1e8702f81ddfc37365c42f1c320e650c16"
"13","0hDjKSKjl1DC7ovYTDJHe8","Bruno Major","","initial",20," <a href=""https://www.last.fm/music/Bruno+Major"">Read more on Last.fm</a>","4cObYWHyaRDd3FmD77vJ9h","The First Thing You See - Live","https://p.scdn.co/mp3-preview/9051f8713df60b4aa113da322105465abc9a30a4","https://i.scdn.co/image/03bee90036d412fc4f58239360aea371d9af2b01"
"14","6OkqAt7MtIDPOadHr1gEkz","Matt Hartke","indiecoustica","initial",20," <a href=""https://www.last.fm/music/Matt+Hartke"">Read more on Last.fm</a>","3iTi975Q6qnoRKrBL1FNsl","Gold","https://p.scdn.co/mp3-preview/fb7fc1eb0f7dc1c577664840042b499a7eb4d1b6","https://i.scdn.co/image/1db505ad44a2a7dbf0378799bb11db7cf557d9ea"
"15","2KsP6tYLJlTBvSUxnwlVWa","Mike Posner","dance pop, pop, pop rap, r&b, tropical house","initial",20,"Michael Robert Henrion Posner ""Mike Posner"" (born February 12, 1988 in Southfield, Michigan) is an American singer and producer signed to J Records. He released his debut mixtape, Reflections of a Lost Teen, in 2006. His next two mixtapes, A Matter of Time and One Foot Out the Door, caught the attention of many major labels. His debut album 31 Minutes to Takeoff was released August 10, 2010. Posner graduated from Duke University in December 2009 with a BA in Sociology and Business. He is close friends with rapper Big Sean.  <a href=""https://www.last.fm/music/Mike+Posner"">Read more on Last.fm</a>","1MtUq6Wp1eQ8PC6BbPCj8P","I Took A Pill In Ibiza - Seeb Remix","https://p.scdn.co/mp3-preview/ab31c84b83c68a058eded755b99d94f067fe3fdb","https://i.scdn.co/image/1ac9b101a3250cbf41df579e3c65cb547272bf16"
"16","5tJ8dG0l6HMBfHiQoTkOf8","Brett Bixby","","initial",29,"
 <a href=""https://www.last.fm/music/Brett+Bixby"">Read more on Last.fm</a>","0eGfCq3XivTX6UwU6MUOFV","Fireside","https://p.scdn.co/mp3-preview/24bfdba61cfeb6417839e91c0dbdc00d5d70d47a","https://i.scdn.co/image/8b67df554e8aef328fe7ca6b460018bc9f0c1a1d"
"17","11nbBcaBk8uXBPQsc3Sq9p","Aaron Espe","folk christmas, indiecoustica, stomp and flutter","initial",23,"Biography:

Alighting upon the folk music scene two years ago from the upland wilds of Northern Minnesota, Aaron has begun to garner the attention that one might expect from a significant young talent. His recent plumes include: 

-“My Whole Life” a top 20 album for 2006 (intelligentpop.com)

-Featured artist for the 2007 Volkswagen Auto Tour.

-Showcased artist for the 2007 Folk Alliance, Memphis, Tennessee.

-Among the top-ranked unsigned folk artists (myspace.com)  <a href=""https://www.last.fm/music/Aaron+Espe"">Read more on Last.fm</a>","0g3Vm5xbQsDslbTeN9SwEb","Making All Things New","https://p.scdn.co/mp3-preview/36d4480c52a95fc29aa4729d821c42933e13adac","https://i.scdn.co/image/0757126a25671bf5641f82de9c24fa39ead12146"
"18","1OV5mEATxtVma7fleFaUyl","Lori McKenna","ectofolk, folk, lilith","initial",21,"Lori McKenna (née Lorraine Giroux, born December 22, 1968) is an American folk singer/songwriter. Her album releases to date include Paper Wings and Halo (2000), Pieces of Me (2001), The Kitchen Tapes (2004), Bittertown (2004), Unglamorous (2007), Lorraine (2011), and Massachusetts (2013).

Lori McKenna’s first name is actually Lorraine. She is named after the mother she lost when she was only seven, but whose impact on Lori’s life reverberates to this day. <a href=""https://www.last.fm/music/Lori+McKenna"">Read more on Last.fm</a>","1JtvwshkJMxfm4oRhJp93C","The Time I've Wasted","https://p.scdn.co/mp3-preview/42f6ba1234fb27b99edea8fb9fc02565346397cb","https://i.scdn.co/image/0126bde26a3b792edd429485740c347d9ab47c6d"
"19","4l8UbJGiXxbfyDJPvcVH23","A.A. Bondy","alternative country, chamber pop, folk-pop, indie folk, indie pop, new americana, roots rock, slow core, stomp and flutter, stomp and holler","initial",20,"A.A. Bondy (born Auguste Arthur Bondy in Louisiana; also known as Scott Bondy ) is an American folk/alternative artist, the former lead singer of Birmingham, AL's Southern grunge darlings Verbena. After Verbena broke up in 2003, Bondy retreated to a Catskills home in Palenville in upstate New York and in time began writing songs again, emerging with a stripped-down indie folk sound. He recorded and mixed his debut album, ""American Hearts"", at a barn near his home, releasing the project in 2007 on the Superphonic imprint. <a href=""https://www.last.fm/music/A.A.+Bondy"">Read more on Last.fm</a>","15uTxjdvNnV6U5u5L4vpnM","Mightiest of Guns","https://p.scdn.co/mp3-preview/df6a2ccddbd0c7012f1201c336cb18da5c663e03","https://i.scdn.co/image/ddf00cdb9edfebe28cea5c830b51b6e0459c9ef1"
"20","1PELQpIrHccFmlReFjINVT","Tuvaband","","initial",20,"Tuvaband play melancholic indie music with a blend of lo-fi sounds and vocal layering. Tuvaband are a Norwegian/English duo consisting of Tuva Hellum Marschhäuser & Simon Would. <a href=""https://www.last.fm/music/Tuvaband"">Read more on Last.fm</a>","3fXbUuDBRoe0PMQ3BItnAc","Unknown","https://p.scdn.co/mp3-preview/8f4c61d40b1eecf37aadd8f80e7f0f205a312c32","https://i.scdn.co/image/6e9f4935772c52f2b055fd4f845e72aa456b839c"
"21","5pdyjBIaY5o1yOyexGIUc6","LIGHTS","canadian pop, pop","initial",20,"There are at least six artists operating under the name Lights:

[1] Canadian singer-songwriter Lights Poxleitner
[2] An audio/visual project and avant-folk four-piece from Brooklyn, NY 
[3] Early 2000's British Rock band
[4] North London Indie Band Lights
[5] Lights from Massachusetts
[6] Solo artist from York, UK


[1] Lights (born Valerie Anne Poxleitner on 11 April 1987 who later changed her name legally to Lights Valerie Poxleitner), is a Juno Award-winning singer-songwriter from Toronto, Ontario, Canada. <a href=""https://www.last.fm/music/Lights"">Read more on Last.fm</a>","5K1BeX2pfMHGX1GCrSaVjG","Banner (Acoustic)","https://p.scdn.co/mp3-preview/54a7e21b13570fcd204e3be1680385add086b5f4","https://i.scdn.co/image/e89e9105d4f45f3e582e0dcf540c13aead433108"
"22","7ubT2ee6sI6kBijDMuAOxV","Schuyler Fisk","acoustic pop, neo mellow","initial",24,"Schuyler Elizabeth Fisk (pronounced “Sky-ler”; born July 8, 1982) is an American actress and singer-songwriter. She was born in Los Angeles, California to actress Sissy Spacek and production designer Jack Fisk. With her vibrant voice and honest songwriting, Schuyler Fisk draws legions of fans to her music, both onstage and online, where she enjoys an active grassroots following as one of the top indie artists on MySpace. Her debut album, released in 2009, was entitled The Good Stuff. Her album Blue Ribbon Winner followed in 2011. <a href=""https://www.last.fm/music/Schuyler+Fisk"">Read more on Last.fm</a>","7jKxEGp0zXkwbFTWHHtsdC","Fall Apart Today","https://p.scdn.co/mp3-preview/48fef49ee1b402ffb4b240122795c3177ded7ded","https://i.scdn.co/image/a093a18c6e90cb2c61584e3751cdb1f8e8762c31"
"23","6zDFhpdu4WUVVGTz0JSLMh","Susie Suh","acoustic pop, neo mellow","initial",31,"Susie Suh (born in Los Angeles, California) is a Korean American alternative/folk-rock singer-songwriter.

In 2003, Suh signed with Epic/Sony; she ended up working with Glen Ballard, a well-known producer/songwriter/arranger.At first, Ballard only agreed to produce a few songs for Suh, but he was so impressed with her work that he ended up producing her entire debut album (a self-titled CD that Epic released in April 2005). 

With the album completed <a href=""https://www.last.fm/music/Susie+Suh"">Read more on Last.fm</a>","1rZFC696WndvqvpFfjr4Wu","I Do","https://p.scdn.co/mp3-preview/fc4a52a95f42c2aecf71c9dfa452ecd37b61bb83","https://i.scdn.co/image/52ee899a898f0a09b5e2599f2bed04e7401009b7"
"24","7CfcrGoabPfkAToFD8oBF3","Perrin Lamb","singer-songwriter","initial",26," <a href=""https://www.last.fm/music/Perrin+Lamb"">Read more on Last.fm</a>","4Iva3ARdESOfQmRqwFQ0hg","Whisper","https://p.scdn.co/mp3-preview/ba6e344686fcb09fbbd7be81e760c65fba6fa9f4","https://i.scdn.co/image/ff2c44fcbeb0d47252a0a32d8bac55d1626e9932"
"25","0IbWNNqUJWp6qjQePARgTp","Sinclair","indiecoustica","initial",20,"There are multiple artists with this name:

1)  Sinclair, whose name is Mathieu Blanc-Francard was born July 19, 1970 in Tours (France). His father, Dominic Blanc-Francard, is one of French greatest sound engineers and his brother, Hubert a producer and DJ (under the name of Boom Bass). As for his uncle, Patrice Blanc-Francard, he was one of the first radio hosts to have popularized the ""world music"". 

Raised in the Paris area, he discovered music at the age of 15 <a href=""https://www.last.fm/music/Sinclair"">Read more on Last.fm</a>","6UHZNlQ7WkukvtNRcMvcwg","This Too Shall Pass","https://p.scdn.co/mp3-preview/a150bd49dffd6646d75a0ade8584cbd883fc8c90","https://i.scdn.co/image/2e88db129a753f05e627facb765bd03d68efd942"
"26","6Uy8b1vMspM7TnanabstFt","Nathan Roberts","","initial",20,"Music artists are a dime a dozen these days, and authentic songwriters are few and far between. The subtle, yet soulful songs of Nathan Roberts, however, sacrifice neither substance nor accessibility. Drawing from the rawness and honesty of esteemed artists such as Bob Dylan, Noel Gallagher, and Jeff Tweedy, this Toledo, Ohio native has a real grasp on what it takes to write quality songs. Roberts’ songs reveal his ability to harness the true power of music – to create songs that are real, relatable, and memorable. <a href=""https://www.last.fm/music/Nathan+Roberts"">Read more on Last.fm</a>","7z272VoN0A0ja5NZ537MY7","Forever With You","https://p.scdn.co/mp3-preview/800eedde7473a1fdb6afabb8a3079c5577b3ff83","https://i.scdn.co/image/16c948f5cf96575a057bccd1776d6efab34ec13f"
"27","0ekbDNE2eOq8QiaXM34wer","Howie Day","acoustic pop, neo mellow, pop, pop rock, viral pop","initial",23,"Howard Kern ""Howie"" Day (born January 15, 1981) raised in  Brewer, Maine, USA is an American singer-songwriter. Beginning his career as a solo artist in the late 1990s, Day became known for his extensive touring and in-concert use of samplers and effects pedals in order to accompany himself. He self-financed and self-released his first album, Australia, in 2000.

Day eventually signed a recording contract with major label Epic Records in 2002 and has since re-released his debut as well as producing a follow up, Stop All The World Now. <a href=""https://www.last.fm/music/Howie+Day"">Read more on Last.fm</a>","5rwq6R0Uq0BngM3rdmCeNg","Collide - Acoustic Version","https://p.scdn.co/mp3-preview/7ae04760d9cb39b9833ddcb4a596c23f2a7344ab","https://i.scdn.co/image/dad6ca112eae1d67268840c84fd6051b6424ffc6"
"28","1sKPIw7teK8qWo58pKKzRz","Crissi Cochrane","","initial",23," Since leaving Halifax as a folk/pop darling in 2010, Windsor ON-based songwriter Crissi Cochrane has found her soul, writing and living in the hot sun by the great American city of Detroit. Colours of Billie Holiday and Amy Winehouse pair with Cochrane's ambitious musicianship in a journey through contemporary popular music, Canadian indie, and American jazz and blues.

Raised in rural Nova Scotia, Crissi entered the music scene as a young teen, <a href=""https://www.last.fm/music/Crissi+Cochrane"">Read more on Last.fm</a>","1trYM6Evd3SQHcXYWzbVTe","Pretty Words","https://p.scdn.co/mp3-preview/567d62ead1ad8e70a9e7acd904f05bf905ba72f9","https://i.scdn.co/image/753edf7958326ab4541bcb5bbdea355291da361b"
"29","5o206eFLx38glA2bb4zqIU","Bright Eyes","anti-folk, chamber pop, folk christmas, folk-pop, indie christmas, indie folk, indie pop, indie rock, lo-fi, melancholia, singer-songwriter, slow core, stomp and holler","initial",22,"Bright Eyes is an indie rock band consisting mainly of American singer, guitarist, and songwriter Conor Oberst. Bright Eyes also features multi-instrumentalist/producer Mike Mogis, keyboard player Nate Walcott and a rotating lineup of collaborators drawn primarily from Omaha, Nebraska, United States' indie music scene.  Having been deeply influenced early on by singer-songwriters David Dondero and Simon Joyner, Conor Oberst has been recording music since the age of 13. <a href=""https://www.last.fm/music/Bright+Eyes"">Read more on Last.fm</a>","5OiaAaIMYlCZONyDBxqk4G","First Day Of My Life","https://p.scdn.co/mp3-preview/47cdcbdb38106defe6018457533b8236ffc55e8a","https://i.scdn.co/image/0247ae0c23d1d6cdb5b8de6f7448fe95ff7b86ac"
"30","6l0YU3c3P4syW5VOV3BS4h","Ford Turrell","","initial",30,"""Ford Turrell's self-titled debut introduces us to a talented young artist to watch. Turrell's well-crafted songs and rootsy, organic sound will appeal to fans of Ray LaMontagne or David Gray, and his poetic lyrics will have you hanging on every word. A promising debut from a promising artist."" -Abby White, Music Editor Performing Songwriter Magazine

""I wonder if an artist this thoughtful isn't up to something more profound than a well-painted picture. <a href=""https://www.last.fm/music/Ford+Turrell"">Read more on Last.fm</a>","1ft1kxae3lS94p6i6uWiea","The Heaviest Stars","https://p.scdn.co/mp3-preview/d15088bc03b5419aa695fa3c0cf97431507fd65d","https://i.scdn.co/image/49e7548f1cf98b7eaf71e3bfa37851bf133d3c68"
"31","4MXUO7sVCaFgFjoTI5ox5c","Sufjan Stevens","anti-folk, chamber pop, folk christmas, folk-pop, freak folk, indie christmas, indie folk, indie pop, indie rock, lo-fi, neo-psychedelic, pop christmas, singer-songwriter, slow core, stomp and holler","initial",22,"Sufjan Stevens (pronounced ""SOOF-yahn""; born July 1, 1975) is an American musician, songwriter, and multi-instrumentalist from Petoskey, Michigan. He is known for his lyrically focused and instrumentally rich songs that often relate to faith and family. He has enjoyed wide critical success in the United States. He is considered part of the folk revival through indie pop, but his influences are very broad, including experimental electronic music, the jazz of Vince Guaraldi, and the academic minimalism of Steve Reich and Philip Glass.  <a href=""https://www.last.fm/music/Sufjan+Stevens"">Read more on Last.fm</a>","6Rt6KwuF7I8ZkdZG2G0bYr","The Only Thing","https://p.scdn.co/mp3-preview/5394576429c15cd465bccfafb1fffbf971ee53d6","https://i.scdn.co/image/d78df92a983c2770777790a621e4a58928ee6ff9"
"32","49RRjdOtssOA73G9NnVeUM","Tristan Prettyman","acoustic pop, folk-pop, lilith, neo mellow, pop rock","initial",24,"Tristan Prettyman (born May 23, 1982) is a singer-songwriter and former Roxy model. She was born and raised in the town of Del Mar located in San Diego County, California.

Taking advantage of the town's proximity to the ocean, she began surfing at the age of 12. She competed in the National Scholastic Surfing Association (NSSA) High School Division and earned fifth place in the state title while still in middle school.

At 15, she was given a cassette of Ani DiFranco's 1993 Puddle Dive by her half-brother's friend. <a href=""https://www.last.fm/music/Tristan+Prettyman"">Read more on Last.fm</a>","6rJIkMnW4dwCDshMp5Oo9R","Song For The Rich","https://p.scdn.co/mp3-preview/eafc9d28baf167553724d9a82ff1bbcb1e73eeb1","https://i.scdn.co/image/6f5194405efef64a250f58ecc874da961fc68fc3"
"33","5hvR6s2FCbM4RQbw6BNgaI","Keeley Valentino","","initial",26,"""Keeley Valentino was born and raised in the beautiful Bay Area of northern California, with the exception of four years spent in the central valley of Bakersfield. While Marin County is where she calls home, it was in Bakersfield that Keeley’s love of music really began to take shape. Though always loving to sing and having a propensity for performance at a young age, in Bakersfield she discovered country music and a romance with story telling through song. <a href=""https://www.last.fm/music/Keeley+Valentino"">Read more on Last.fm</a>","2EcmylNwVAc4RDhM6qBwDP","Nashville","https://p.scdn.co/mp3-preview/78491a57eac21cd5f11c9ccfbb5cdf2fea04b32d","https://i.scdn.co/image/aa50184734733e24c448cfc8b5e2ffe28cc842ce"
"34","62gL3RAdJAPUmjrYudnVjy","Holly Brook","","initial",20,"Vocalist, instrumentalist, and Universal published songwriter Holly Brook has worked professionally in the music industry since the young age of 6. Now a seasoned touring musician, she has a substantial catalogue of work to her name, including 3 albums from her childhood performing with her mother in the duo, Generations, as well as 2 solo albums under the name, Holly Brook. Her debut solo album was entitled, ""Like Blood Like Honey,"" and was a Machine Shop/Warner Brothers release. <a href=""https://www.last.fm/music/Holly+Brook"">Read more on Last.fm</a>","0csNGPROfLnRr93WAQnKWi","Like Blood Like Honey","https://p.scdn.co/mp3-preview/44b5ccfb7c872c68b39358ecea62c7faf34ed310","https://i.scdn.co/image/289cf32f03a9354ea386398870656fdea4faeadd"
