"","id","name","genres","group","n_edges","bio","top_track_id","top_track_name","top_track_preview_url","image"
"1","1URnnhqYAYcrqrcwql10ft","21 Savage","dwn trap, trap music","initial",24,"Shayaa Joseph (born October 22, 1992)[1], better known by his stage name 21 Savage, is an American rapper from Atlanta, Georgia.
He is notable for being a 2016 XXL freshman and creating numerous projects with Metro Boomin. The most recent titled Savage Mode, was released on July 17th 2016.  <a href=""https://www.last.fm/music/21+Savage"">Read more on Last.fm</a>","6fwdbPMwP1zVStm8FybmkO","X (feat. Future)","https://p.scdn.co/mp3-preview/378ccd78be223f579b885d1f1195d29948514f9f","https://i.scdn.co/image/43a4529a284eb4e2aa4b1e503220af0e4261994a"
"2","0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin","southern hip hop, trap music","initial",20,"Leland Wayne (born September 16, 1993), professionally known as Metro Boomin (also known as Metro and Metro Beatz), is an American record producer and songwriter from St. Louis, Missouri, and now based in Atlanta, Georgia. Metro is best known for producing instrumentals for rappers such as Future, Ludacris, Migos, Young Thug, Travi$ Scott, Meek Mill, Nicki Minaj and Wiz Khalifa, among others. <a href=""https://www.last.fm/music/Metro+Boomin"">Read more on Last.fm</a>","6fwdbPMwP1zVStm8FybmkO","X (feat. Future)","https://p.scdn.co/mp3-preview/378ccd78be223f579b885d1f1195d29948514f9f","https://i.scdn.co/image/4dc3cf09b0bec8e81a7da48ecfd2a376b5fae590"
"3","3TVXtAsR1Inumwj472S9r4","Drake","canadian pop, hip hop, pop rap, rap","initial",24,"Aubrey “Drake” Graham (born October 24, 1986 in Toronto, Ontario) is a Grammy award nominated Canadian actor, rapper and singer signed to Young Money/Universal Motown. Drake shot to global fame upon the release of his critically acclaimed 2009 mixtape So Far Gone and Best I Ever Had, a single from the mixtape which peaked at #2 on the Billboard Hot 100.

Drake's music career began in 2006 with the release of his debut mixtape room for improvement. <a href=""https://www.last.fm/music/Drake"">Read more on Last.fm</a>","12VWzyPDBCc8fqeWCAfNwR","One Dance","https://p.scdn.co/mp3-preview/98f60b086bb1da2ca2e4c217331b8c8cc801358d","https://i.scdn.co/image/085ae2e76f402468fe9982851b51cf876e4f20fe"
"4","20sxb77xiYeusSH8cVdatc","Meek Mill","dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap music","initial",26,"Robert Williams (born May 6, 1987), better known by his stage name Meek Mill, is an American rapper from Philadelphia, Pennsylvania. He was briefly signed to T.I.'s label Grand Hustle Records and in February 2011 signed to Rick Ross' Maybach Music Group. He adopted the rap name “Meek Mill” after family and friends from his neighborhood kept referencing him by his middle name. Meek is coined as the latest rap phenomenon to come out of the city of Philadelphia. <a href=""https://www.last.fm/music/Meek+Mill"">Read more on Last.fm</a>","0Y0TOsE1q11qgbi7c5WZsG","R.I.C.O. (feat. Drake)","https://p.scdn.co/mp3-preview/d5f29c79f1f3e5fcbe22f23f6fddc8e3cbd7b909","https://i.scdn.co/image/daf6a77f079d7dd8c0d4f5ea1165eb63a286f6c4"
"5","50co4Is1HCEo8bhOyUWKpn","Young Thug","gangster rap, rap, trap music","initial",26,"Jeffery Williams, better known by his stage name Young Thug, and was briefly known as ""Jeffery"", is an American rapper from Atlanta, Georgia who is signed to Gucci Mane's 1017 Brick Squad Records, Asylum Records and Atlantic Records. Thug grew to prominence in 2013 after releasing his mixtape 1017 Thug to positive critical reception. He has collaborated with artists such as Gucci Mane, Young Scooter, Rich Homie Quan and Waka Flocka Flame.

Thug was born amongst the masses eliminating any doubt that he wouldn’t be special. <a href=""https://www.last.fm/music/Young+Thug"">Read more on Last.fm</a>","20dP2DaMHIAmwWAbp7peSr","pick up the phone","https://p.scdn.co/mp3-preview/096740087670272bd8d4a1d4b2dcec26c7965e5f","https://i.scdn.co/image/25cdb6baf095e1e1f094a256bb6b3b1eceacc143"
"6","1RyvyyTE3xzB2ZywiAwp0i","Future","deep trap, pop rap, rap, southern hip hop, trap music","initial",29,"Future is the name of at least three artists;

1)  Nayvadius DeMun Wilburn, (born November 20, 1983), better known by his stage name Future, is an American rapper, singer, songwriter and record producer from the Kirkwood neighborhood of Atlanta, Georgia.

After releasing a series of moderately successful mixtapes between 2010 and 2011, Future signed a major label deal with Epic Records and fellow American rapper Rocko's A1 Recordings, which helped launch his own label imprint Freebandz. <a href=""https://www.last.fm/music/Future"">Read more on Last.fm</a>","7EiZI6JVHllARrX9PUvAdX","Low Life","https://p.scdn.co/mp3-preview/dd493a2d827e0d6b40470f23913f301aee963157","https://i.scdn.co/image/1082c25384af66fcd8a64f3ccd8dce25946d032e"
"7","7iZtZyCzp3LItcw1wtPI3D","Rae Sremmurd","pop rap, rap, southern hip hop, trap music","initial",23,"Tupelo, Mississippi. It’s the home of Elvis Presley, but even for those clued in on that fun fact, it’s safe to say that few, if any, know much more about the city than that. Nestled in the northeast corner of the Magnolia State, and with a population of just over 35,000, indeed, Tupelo, like most small metropolises, is easy to overlook. Rae Sremmurd - pronounced ""Ray-Shrim-er,"" consisting of real life brothers Slim Jimmy and Swae Lee, and newly <a href=""https://www.last.fm/music/Rae+Sremmurd"">Read more on Last.fm</a>","6fujklziTHa8uoM5OQSfIo","Black Beatles","https://p.scdn.co/mp3-preview/b24c20cfe5cd9130265d86b5a3c1cf1b6e9e8d1f","https://i.scdn.co/image/45358e6386db3e700f739422154a34fde53bc4b3"
"8","13y7CgLHjMVRMDqxdx0Xdo","Gucci Mane","crunk, deep trap, dirty south rap, doujin, gangster rap, pop rap, rap, southern hip hop, trap music","initial",24,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album <a href=""https://www.last.fm/music/Gucci+Mane"">Read more on Last.fm</a>","2nBI3iWLhupR7LyAJ5GGkE","Champions","https://p.scdn.co/mp3-preview/74d73f6f9ceeddac4dd88250dd5382b0a746b635","https://i.scdn.co/image/dd076a73a8ae0a8c525ac71ae1d2a17a56f2f189"
"9","4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","dwn trap, rap, trap music","initial",28,"Symere Woods (born July 31, 1994), better known by his stage name Lil Uzi Vert, is an American rapper, singer and songwriter from Francisville, North Philadelphia, Pennsylvannia.

In 2015, Uzi signed a record deal with DJ Drama & Don Cannon's Generation Now/Atlantic imprint.[1] Uzi then released his debut studio album Luv Is Rage was released on December 18, 2015, featuring productions from Don Cannon, FKi, Sonny Digital, TM88, and more, with Wiz Khalifa and Young Thug the only guest features on the album. <a href=""https://www.last.fm/music/LIL+UZI+VERT"">Read more on Last.fm</a>","0B8QzDH7YWih85V5SEMnyJ","Money Longer","https://p.scdn.co/mp3-preview/d3e64e38a6bc9be041fe7b1d6c9a0cacf07e2955","https://i.scdn.co/image/6b074e198860470024e57ebbc1dda9f58088c506"
"10","3Gm5F95VdRxW3mqCn8RPBJ","Aminé","","initial",22,"""Aminé is a hiphop/reggae singer/songwriter. Ethiopian and born and raised in Portland, Oregon, 20 year-old rising hip-hop star Aminé’s (uh-mean-aye) varied roots are just as complex as his unique and self-described “On Cloud Nine” musical styling; a styling that pushes listeners to the edge and seamlessly merges lyrical rap over melodic melodies."" source: http://storiesfromthestreetspdx.wordpress.com/amine/ <a href=""https://www.last.fm/music/Amin%C3%A9"">Read more on Last.fm</a>","5GFDrUTLGJix84sNhjCG0g","Caroline","https://p.scdn.co/mp3-preview/93b33b49f41d5de40aad14bf3a3219e79651e6fd","https://i.scdn.co/image/0a484af386920311f506907cbd18ac6f444f1e79"
"11","1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","canadian pop, pop, rap","initial",21,"The Weeknd, the stage name for Abel Tesfaye, is a Canadian singer-songwriter and producer.
The Scarborough, Toronto-born singer, songwriter, and producer doesn't say much outside of his lyrics or personal messages through his social networking sites. Ever since appearing on the scene in late 2010, he's been shrouded in mystery, cultivating a mystique that baffles our gossip-obsessed pop culture. With that said, the 25-year-old alternative R&B phenomenon is an enigma in more ways than one. <a href=""https://www.last.fm/music/The+Weeknd"">Read more on Last.fm</a>","2IY7eOUDjw2ArKYxKa2jXc","Starboy","https://p.scdn.co/mp3-preview/8bc809d4e17a94526ff189e89dde0decc774a639","https://i.scdn.co/image/22e74f760f42dc5a8f91b8dbbbd38a0c6eaacbf4"
"12","4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","electro, electro house, electronic, filter house, house","initial",20,"Daft Punk  is a multi Grammy Award-winning electronic music duo formed in 1994 in Paris, France, and consisting of French musicians Thomas Bangalter (born 3 January 1975) and Guy-Manuel de Homem-Christo (born 8 February 1974). The band is considered one of the most successful electronic music collaborations of all time, both in album sales and in critical acclaim. 

Daft Punk reached significant popularity in the late 90s house movement in France, along with other artists such as Air, Cassius, and Dimitri From Paris. <a href=""https://www.last.fm/music/Daft+Punk"">Read more on Last.fm</a>","2Foc5Q5nqNiosCNqttzHof","Get Lucky - Radio Edit","https://p.scdn.co/mp3-preview/92d40a2ae211cceb264e9ee1e67fe05f4d788200","https://i.scdn.co/image/5471b7df087e073aab177074e371f8dbc692817c"
"13","7nKeLE1toRtW4M279iS26h","Zay Hilfigerrr","","initial",23," <a href=""https://www.last.fm/music/Zay+Hilfigerrr"">Read more on Last.fm</a>","1lItf5ZXJc1by9SbPeljFd","Juju On That Beat (TZ Anthem)","https://p.scdn.co/mp3-preview/39043ce6ba5d74b260f6b90f33a3a9779086ca38","https://i.scdn.co/image/ab911beecbe53ffd83d34226dea782634fbd7003"
"14","5AsWcQXw4RJFRWBbwa0ti0","Zayion McCall","","initial",22," <a href=""https://www.last.fm/music/Zayion+McCall"">Read more on Last.fm</a>","1lItf5ZXJc1by9SbPeljFd","Juju On That Beat (TZ Anthem)","https://p.scdn.co/mp3-preview/39043ce6ba5d74b260f6b90f33a3a9779086ca38","https://i.scdn.co/image/f83cfd812b271c6fb512ed16ae7aacb54d9ef26d"
"15","7LvoDJUNGnOrPdGRzVtOJ9","Young M.a.","","initial",24," <a href=""https://www.last.fm/music/Young+M.A."">Read more on Last.fm</a>","0D21XvHcVsIvJM6FcGY2BT","OOOUUU","https://p.scdn.co/mp3-preview/0852b011bb11c251d0e9f90c6a010997013e0f09","https://i.scdn.co/image/73296f41de32300b89866d550a00d48be45c536b"
"16","7yO4IdJjCEPz7YgZMe25iS","A$AP Mob","hip hop, rap, southern hip hop, trap music, underground hip hop","initial",21,"A$AP Mob is a collective of rappers, producers, and music video directors. <a href=""https://www.last.fm/music/A$AP+Mob"">Read more on Last.fm</a>","2rqUblDWJKlMVwh9uJc0Vv","Yamborghini High","https://p.scdn.co/mp3-preview/d93fb61c4d8363799f245f9de4eae8e8183bf7e1","https://i.scdn.co/image/1e505b20079ea614ad61a369df4f31a47a30fca4"
"17","13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","east coast hip hop, pop rap, rap, southern hip hop, trap music","initial",26,"Rakim Mayers (born October 3, 1988 in Harlem, New York NY, United States), better known by his stage name ASAP Rocky (stylized as A$AP Rocky), is an American rapper, director, and member of the New York based Hip-Hop collective ASAP Mob. ASAP Rocky gained recognition among the hip hop community in 2011 with his first mixtape LIVE.LOVE.A$AP. He released his first album 'Long.Live.A$AP'  in 2013, and his second album 'AT.LONG.LAST.A$AP' was released on May 26, 2015. Both albums debuted at number one on the Billboard 200. <a href=""https://www.last.fm/music/A$AP+Rocky"">Read more on Last.fm</a>","4XoP1AkbOurU9CeZ2rMEz2","F**kin' Problems","https://p.scdn.co/mp3-preview/1649b7c26c8bcfa8b252601cf428844cec9a8446","https://i.scdn.co/image/f5155956190be7da4cedbb905f4018c619282627"
"18","0tPjSrb43a58uznKru1k2P","A$AP Twelvyy","","initial",20," <a href=""https://www.last.fm/music/A$AP+Twelvyy"">Read more on Last.fm</a>","1mJqMvX5Cm0DaH7oaKKZaV","Game 7","https://p.scdn.co/mp3-preview/27a2399f2f9458c0a688b6269a64eea257f1c856","NULL"
"19","2tMOCIpxj6jwM9e6pmwGiP","Key","underground hip hop","initial",20,"There are several artists named Key:

1) Key (Finland) is a Finnish post-punk / neofolk duo formed by Rauta (Circle of Ouroborus) and Kaarna (Somnivore). Cocainacopia released a hand-made wooden box including three previously unreleased demo tapes in 2010, shortly followed by the full-length albums “Crown of Winter” (2010) and ""Silver Moon Slumber"" (2001), both released on Anima Arctica.

2) Key (Japan) is the artist name for the two below in Key Sounds Label <a href=""https://www.last.fm/music/Key"">Read more on Last.fm</a>","3g9TyWZAiKs7Np7oztsG41","Look At Wrist","https://p.scdn.co/mp3-preview/ea8d7c86c611fd5594acf69051aa4b450b84e942","https://i.scdn.co/image/4fbfbe5b688825b90cc3f58a1b5c596b2c84b6be"
"20","7pFeBzX627ff0VnN6bxPR4","Desiigner","dwn trap, rap, trap music","initial",26,"Sidney Royel Selby III (born May 3, 1997), better known by his stage name Desiigner, is an American hip hop recording artist from Brooklyn, New York. He rose to prominence when his debut single ""Panda"", reached number one on the US Billboard Hot 100 chart. In February 2016, fellow American rapper Kanye West (who sampled ""Panda"" for his seventh album The Life of Pablo), announced Desiigner's signing to his GOOD Music imprint, under the aegis of Def Jam Recordings. <a href=""https://www.last.fm/music/Desiigner"">Read more on Last.fm</a>","3NJG6vMH1ZsectZkocMEm0","Tiimmy Turner","https://p.scdn.co/mp3-preview/65d8768b1dce9c82c22511fe5aaf68219eb07394","https://i.scdn.co/image/f662b7e81881edec2ca73e4fdc041a96a79260b1"
"21","5K4W6rqBFWDnAN6FQUkS6x","Kanye West","pop, pop christmas, pop rap, rap, trap music","initial",22,"Kanye Omari West (born June 8, 1977 in Atlanta, Georgia) is a Grammy award winning rapper, producer, author, designer and singer. 

He began making beats and rapping in the early 90s in Chicago, IL, United States when he formed the rap group Go Getters with Chicago natives GLC and Really Doe. He later gained nationwide popularity in New York when he began producing tracks for artists such as Jay-Z, Twista, Mase, Talib Kweli and Alicia Keys. 

West’s style of production often utilizes pitched-up vocal samples <a href=""https://www.last.fm/music/Kanye+West"">Read more on Last.fm</a>","4KW1lqgSr8TKrvBII0Brf8","Father Stretch My Hands Pt. 1","https://p.scdn.co/mp3-preview/c06126ce865f0355269220872536f3f43d112aca","https://i.scdn.co/image/68bb1f8173bf46df2bf8210f5ef5ec73fd1143b4"
"22","6Ip8FS7vWT1uKkJSweANQK","Dave","grime","initial",20,"There are at least six acts using the name Dave:

1. DAVE
 is Hellenic low bap. Mε λενε Γιαννη η αλλιως Dave.Οι στιχοι ειναι η προεκταση του εαυτου μου σε κατι αγνωστο αλλα και μαλλον ανωτερο κι απ`τον ιδιο μου τον εαυτο.Ειναι μια αναγκη που ειχα απο μικρο παιδι να εκφραζομαι αλλα και να με ανακαλυπτω μεσα απο το χαρτι. <a href=""https://www.last.fm/music/Dave"">Read more on Last.fm</a>","3DKCTIiJ97bS9TGiqcABjo","Thiago Silva","https://p.scdn.co/mp3-preview/d8a94cd90d3063f80de4aa0c00a76bfa865ca8c8","https://i.scdn.co/image/38d6c5fc813d7443f2b11ea4fca2f509b755e2e2"
"23","2hWs22BmQkK4czFtDLnar2","Rob $tone","","initial",22,"
Born and raised in the Lemon Grove neighborhood of San Diego, 21 year-old rapper Rob $tone always possessed a strong passion for music. From a young age, Rob was influenced by his father’s vintage music collection, and expanded his listening to reggae, hip-hop, rap, rock, and R&B.

His first commercial single Chill Bill, debuted on the Billboard Hot 100. He is currently signed to RCA. <a href=""https://www.last.fm/music/Rob+$tone"">Read more on Last.fm</a>","5uDASfU19gDxSjW8cnCaBp","Chill Bill","https://p.scdn.co/mp3-preview/aeb15a42574fb5888f02e6dbd3ee65a9848ed3c4","https://i.scdn.co/image/8004cb17567dca40dc8a489402955221698bf3d5"
"24","1rs3y69kDwkIdGJcOYngQt","J. Davi$","","initial",21,"No bio available!",NA,NA,NA,"NULL"
"25","5UEdalZXwxU3mzNl1xWr5y","Spooks","","initial",20,"There are five artists by this name: 

1. The Spooks: A late 90's HipHop/RnB-Band, similar to the Fugees. The group recorded ""S.I.O.S.O.S., Vol. 1"" in 1999 for Artemis Records. The album was a huge success in Europe but hardly made a dent in American markets. After attaining success throughout Europe with their record S.I.O.S.O.S., Vol. 1, Spooks garnered a hit with the single ""Things I've Seen"" (featured in the Laurence Fishburne film Once in the Life). <a href=""https://www.last.fm/music/Spooks"">Read more on Last.fm</a>","1h2Q3Um4SJjbqq4FceESL3","Things I've Seen - Radio Edit","https://p.scdn.co/mp3-preview/b59389a502438abd829ea468252d84291352e26d","https://i.scdn.co/image/5fb96d4c098fc574cf9e88bf0ecd6b60d49ded77"
"26","6icQOAFXDZKsumw3YXyusw","Lil Yachty","dwn trap, rap, trap music","initial",28,"Miles Parks McCollum (born August 23, 1997), better known as his stage name Lil Yachty, is an American hip hop recording artist from Atlanta, Georgia. Yachty gained recognition for his hit debut singles One Night (Extended) and Minnesota from his debut mixtape Lil Boat in 2016.  In February 2016, Yachty debuted as a model in Kanye West's Yeezy Season 3 fashion line at Madison Square Garden.  On June 10, 2016 he announced he had signed a joint venture record deal with Quality Control Music, Capitol Records and Motown Records. <a href=""https://www.last.fm/music/Lil+Yachty"">Read more on Last.fm</a>","40yJGQyEaBbIkXpwMFkXip","One Night","https://p.scdn.co/mp3-preview/5f0e6aa0ac5d9dfdaa15764b0d9d698119031a31","https://i.scdn.co/image/e1924f9cdc82bd2a997e235cb488659a4da74b33"
