"","uri","name","popularity","preview_url","artist","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","track_href","analysis_url","duration_ms","time_signature"
"1","spotify:track:1vcUlV02bvKQn6ryzZqDVL","True Lies",53,"https://p.scdn.co/mp3-preview/5828c5c2fe0560a5c649259ab68e06bef4a5f069","Kenny Wayne Shepherd",0.367,0.769,9,-7.258,1,0.0317,0.00032,0.628,0.0631,0.706,173.186,"audio_features","1vcUlV02bvKQn6ryzZqDVL","https://api.spotify.com/v1/tracks/1vcUlV02bvKQn6ryzZqDVL","https://api.spotify.com/v1/audio-analysis/1vcUlV02bvKQn6ryzZqDVL",348040,4
"2","spotify:track:68vlQoNTUDvujcUVwdMkT1","Morning Star",51,"https://p.scdn.co/mp3-preview/f1c1500f45c703e718194629c93f9766703cee77","Philip Sayce Group",0.393,0.913,8,-5.009,1,0.0713,0.00683,0.00328,0.0547,0.625,78.157,"audio_features","68vlQoNTUDvujcUVwdMkT1","https://api.spotify.com/v1/tracks/68vlQoNTUDvujcUVwdMkT1","https://api.spotify.com/v1/audio-analysis/68vlQoNTUDvujcUVwdMkT1",309533,4
"3","spotify:track:6H4ur69PVIZJlX60jTntAM","Openness",48,"https://p.scdn.co/mp3-preview/265fff9082daab95a518446e653f0aeaec40c5b8","Henrik Freischlader Trio",0.454,0.891,2,-5.101,1,0.0621,0.00229,0.0135,0.468,0.764,169.869,"audio_features","6H4ur69PVIZJlX60jTntAM","https://api.spotify.com/v1/tracks/6H4ur69PVIZJlX60jTntAM","https://api.spotify.com/v1/audio-analysis/6H4ur69PVIZJlX60jTntAM",266466,4
"4","spotify:track:2SMDdT0TPMtDmYGeeDKUhq","Just in case",48,"https://p.scdn.co/mp3-preview/6905a40275a393406668dab8fa96ae92ef65201d","Paulo Mendonca",0.536,0.969,6,-2.62,0,0.0915,0.43,1.26e-06,0.082,0.79,84.881,"audio_features","2SMDdT0TPMtDmYGeeDKUhq","https://api.spotify.com/v1/tracks/2SMDdT0TPMtDmYGeeDKUhq","https://api.spotify.com/v1/audio-analysis/2SMDdT0TPMtDmYGeeDKUhq",239575,4
"5","spotify:track:4gRRWu6UKWASIQzzOzkXUx","The Answer",48,"https://p.scdn.co/mp3-preview/50006cdcb53b6e79f5f075e9d3d5fada79cdb5e2","Tony Spinner",0.676,0.648,6,-6.456,1,0.0294,0.00703,0.00137,0.113,0.884,115.964,"audio_features","4gRRWu6UKWASIQzzOzkXUx","https://api.spotify.com/v1/tracks/4gRRWu6UKWASIQzzOzkXUx","https://api.spotify.com/v1/audio-analysis/4gRRWu6UKWASIQzzOzkXUx",302640,4
"6","spotify:track:4No7vBUnNaJ76hOCMiWr5l","Highway Jones",49,"https://p.scdn.co/mp3-preview/27017d357f6e8923aca88c5699287437d1f4ab6a","Cry Of Love",0.611,0.675,11,-10.327,1,0.0379,0.00279,0.00628,0.238,0.602,127.748,"audio_features","4No7vBUnNaJ76hOCMiWr5l","https://api.spotify.com/v1/tracks/4No7vBUnNaJ76hOCMiWr5l","https://api.spotify.com/v1/audio-analysis/4No7vBUnNaJ76hOCMiWr5l",312200,4
"7","spotify:track:4oIHLOhwRr8yTFZWmyKyZq","Stand Tall",47,"https://p.scdn.co/mp3-preview/903872164b4a01922196fb4c66350c3fe757beaa","Richie Kotzen",0.606,0.679,5,-6.091,0,0.0684,0.075,0.00274,0.677,0.964,183.8,"audio_features","4oIHLOhwRr8yTFZWmyKyZq","https://api.spotify.com/v1/tracks/4oIHLOhwRr8yTFZWmyKyZq","https://api.spotify.com/v1/audio-analysis/4oIHLOhwRr8yTFZWmyKyZq",238667,4
"8","spotify:track:2WA1bjJmejhimkPEAJZIAw","Chills & Thrills",47,"https://p.scdn.co/mp3-preview/98a533ad39c6721a20f67df6bb38e3ebb82e5e83","Bernard Allison",0.723,0.657,2,-5.372,1,0.0429,0.00357,0.0179,0.0563,0.82,116.175,"audio_features","2WA1bjJmejhimkPEAJZIAw","https://api.spotify.com/v1/tracks/2WA1bjJmejhimkPEAJZIAw","https://api.spotify.com/v1/audio-analysis/2WA1bjJmejhimkPEAJZIAw",275733,4
"9","spotify:track:4TSxZeL4YBsSL82n21TajD","Don't Be a Fool",47,"https://p.scdn.co/mp3-preview/cb0df415f3cdba8968b448dd2ee94d90bdbf2a32","Simon McBride",0.604,0.878,6,-5.294,1,0.0396,0.112,0.0282,0.146,0.718,118.001,"audio_features","4TSxZeL4YBsSL82n21TajD","https://api.spotify.com/v1/tracks/4TSxZeL4YBsSL82n21TajD","https://api.spotify.com/v1/audio-analysis/4TSxZeL4YBsSL82n21TajD",227933,4
"10","spotify:track:1CgGro1rXhkxs7LviofPyT","She Was a Doorman",46,"https://p.scdn.co/mp3-preview/7d2c7f06bdf5b9f25b94e0fd6a5d866e2a4680ef","Ana Popovic",0.429,0.897,9,-4.1,0,0.131,0.0753,2.23e-05,0.21,0.825,186.223,"audio_features","1CgGro1rXhkxs7LviofPyT","https://api.spotify.com/v1/tracks/1CgGro1rXhkxs7LviofPyT","https://api.spotify.com/v1/audio-analysis/1CgGro1rXhkxs7LviofPyT",243200,4
"11","spotify:track:0dlfcbC2ecv3RS94noopTd","Well Run Dry",47,"https://p.scdn.co/mp3-preview/e3dedf3a897584ffd3f6ed7b8d71a752c0b05f55","Phat Phunktion",0.71,0.914,9,-3.592,1,0.0749,0.0602,0.00377,0.165,0.737,125.039,"audio_features","0dlfcbC2ecv3RS94noopTd","https://api.spotify.com/v1/tracks/0dlfcbC2ecv3RS94noopTd","https://api.spotify.com/v1/audio-analysis/0dlfcbC2ecv3RS94noopTd",244840,4
