"","id","name","genres","group","n_edges","bio","top_track_id","top_track_name","top_track_preview_url","image"
"1","5mQGacj97PLCoX9YOEGf0Q","David Hazeltine","contemporary post-bop","initial",29,"Today a major pianist in the New York and Japan scenes, David Hazeltine has been playing gigs since he was thirteen. He did not seriously consider going into music until right before college. Once he entered into the jazz world he was encouraged by Chet Baker who told him to go to New York. Born in Milwaukee, where he studied music with local pianist Will Green, worked as the house pianist for national acts at the former Jazz Gallery, and helped to retool the Wisconsin Conservatory of Music's jazz program <a href=""https://www.last.fm/music/David+Hazeltine"">Read more on Last.fm</a>","3s2RFp5hU6jEvAmfZrnrAi","I'll Let You Know","https://p.scdn.co/mp3-preview/bdb9a83f15bd25de78738d4ccae3af5536d92887","https://i.scdn.co/image/46e8624986754fb65bacfb350aeca3ac76983821"
"2","2hGh5VOeeqimQFxqXvfCUf","John Coltrane","adult standards, avant-garde jazz, bebop, contemporary post-bop, cool jazz, free jazz, hard bop, jazz, jazz blues, jazz christmas, jazz funk, vocal jazz","initial",28,"John William Coltrane (Hamlet, North Carolina, September 23, 1926  – Huntington, New York, July 17, 1967) was an American jazz saxophonist and composer.

American jazz great John Coltrane emerged in the 1950s, playing tenor and soprano sax with Dizzy Gillespie, Miles Davis and Thelonious Monk. A leader of ""hard bop"", in the 1960s he led his own groups and changed the face of jazz with experimentation and improvisation, his later recordings reflecting his belief that music was a form of spiritual expression. <a href=""https://www.last.fm/music/John+Coltrane"">Read more on Last.fm</a>","4fKbuhnNdYd9L0NTKECcJ5","In A Sentimental Mood","https://p.scdn.co/mp3-preview/0fc026a5f10f8a5cad99a9a3e2048d6bcbb5d6b2","https://i.scdn.co/image/17f7d42f74a32c7051dbc3783b3c5d4c092dd403"
"3","3HJzLaMbS0jMabxS3wttGk","Esbjörn Svensson Trio","contemporary jazz, contemporary post-bop, jazz, jazz fusion, jazz trio","initial",23,"Esbjörn Svensson Trio (or e.s.t) were a Swedish jazz piano trio formed in 1990 with Esbjörn Svensson (piano), Dan Berglund (double bass) and Magnus Öström (drums).  They are not to be confused with Electro Shock Therapy or an Italian band EST, which has an album listed here: Mostrati. 

e.s.t were renowned for their vibrant style - playing in rock venues to young crowds. They achieved great commercial success and critical acclaim throughout Europe. <a href=""https://www.last.fm/music/+noredirect/Esbj%C3%B6rn+Svensson+Trio"">Read more on Last.fm</a>","0Y6WjYBWld3reWsTMT8FTd","Where We Used To Live","https://p.scdn.co/mp3-preview/47bcbc7608580dbbcdce99c34128d60e994af05a","https://i.scdn.co/image/aba1572ca470f4c66ac9ec4fd31f0df3a3f685fc"
"4","5vACdMa2kY7jHnlJwqYRKP","Enrico Pieranunzi","contemporary jazz, italian jazz","initial",20,"Enrico Pieranunzi was born in Rome in 1949. He began studying piano when he was five years old, partly from his father who was a jazz-loving guitarist. At the same time, his father started introducing him to the wonders of jazz improvisation as well. 
Enrico developed his jazz style and became a professional when he was nineteen years old. Since then he worked with the trombonist Marcello Rosa’s quartet. After this collaboration he worked with many top players (both Europeans and Americans) including Chet Baker <a href=""https://www.last.fm/music/Enrico+Pieranunzi"">Read more on Last.fm</a>","3lw4OExcjj4kba4uU9gF4P","Romance / Hommage à Milhaud","https://p.scdn.co/mp3-preview/b06e8767f8a5769e7478b001f5a586bbab1dd879","https://i.scdn.co/image/e61c94bf18e31793ca70a51309319de0bd92ed15"
"5","77FgwKhxIPrET0QgGTn58K","André Ceccarelli","italian jazz","initial",20,"French drummer, born 1946 in Nizza, who started in the sixties in ""Les Chats Sauvages"". In 1998 he was granted the Great jazz Award by the French copyright management society “Sacem”. <a href=""https://www.last.fm/music/+noredirect/Andr%C3%A9+Ceccarelli"">Read more on Last.fm</a>","3lw4OExcjj4kba4uU9gF4P","Romance / Hommage à Milhaud","https://p.scdn.co/mp3-preview/b06e8767f8a5769e7478b001f5a586bbab1dd879","https://i.scdn.co/image/aa61c0a2836fc6ef723be8f07ff52907e83ea715"
"6","0jdE0ynq5zcnMeAn9XutIX","Diego Imbert","","initial",20," <a href=""https://www.last.fm/music/Diego+Imbert"">Read more on Last.fm</a>","3lw4OExcjj4kba4uU9gF4P","Romance / Hommage à Milhaud","https://p.scdn.co/mp3-preview/b06e8767f8a5769e7478b001f5a586bbab1dd879","NULL"
"7","6aIBBSprVv4xXTT6vzONXU","Eric Reed","bebop, contemporary post-bop, cool jazz, jazz, jazz christmas, stride","initial",30,"Eric Reed, (b. June 21, 1970), in Philadelphia, Pennsylvania, is an American jazz pianist and composer.

Eric began playing piano at age two, was playing piano in his minister father’s church by age five, and at age seven began formal study at Philadelphia’s Settlement Music School. At age 11 his family moved to Los Angeles, and he studied at the R. D. Colburn School of Arts. In May 1986 at Colburn School Eric met Wynton Marsalis, an encounter that would greatly aid his career. <a href=""https://www.last.fm/music/Eric+Reed"">Read more on Last.fm</a>","3KSlf0oOA2SLUd9WithXy9","I Still Believe in You","https://p.scdn.co/mp3-preview/625c78a396c0e53ae920caa9aecb8dd7c7a6244d","https://i.scdn.co/image/6956c028244fe41f1e3233156ac18e0ba69eec7d"
"8","7bcjgJLky9kVQ4GcrQTibn","Grace Kelly","","initial",20,"There are at least two artists with this name:

1.) Grace Kelly is a saxophonist, singer-songwriter, composer, and arranger. Having studied saxophone since the age of ten, she is rapidly making her way up in the jazz music world. Grace’s talents far outstrip others her age. Now eighteen, Grace has already recorded and/or performed with many notable musicians: Lee Konitz, Phil Woods, Dave Brubeck, Hank Jones, Wynton Marsalis, Frank Morgan, Kenny Barron, Cedar Walton, Piano Jazz with Marian McPartland, Harry Connick, Jr. <a href=""https://www.last.fm/music/Grace+Kelly"">Read more on Last.fm</a>","79fmhV6NAraE4Xz3MIXnN4","Ballad for MC","https://p.scdn.co/mp3-preview/004a2b95eda05053ab348bd8f24158088bc031de","https://i.scdn.co/image/81223d5577a8f84646d2fa925074ddf72036b9a8"
"9","1W8TbFzNS15VwsempfY12H","Charles Mingus","avant-garde jazz, bebop, contemporary post-bop, cool jazz, free jazz, hard bop, jazz, jazz bass, jazz blues, jazz funk, jazz fusion, soul jazz, swing, vocal jazz","initial",23,"Charles Mingus (22nd April 1922 – 5th January 1979) was an American jazz bassist, composer, bandleader, and occasional pianist from Los Angeles. He was also known for his activism against racial injustice.

Mingus' legacy is notable: he is ranked among the finest composers and performers in jazz, and recorded many highly regarded albums. Dozens of musicians passed through his bands and later went on to impressive careers. His songs - though melodic and distinctive - are not often recorded by later musicians <a href=""https://www.last.fm/music/Charles+Mingus"">Read more on Last.fm</a>","3PJMsxg6rz9FOo6xNiASXz","Goodbye Pork Pie Hat","https://p.scdn.co/mp3-preview/14a67d58b7674d1ee346abe3a40df155946e93ab","https://i.scdn.co/image/1d5bc9bf20a2b1b9cea731ff740196c93c0a5d34"
"10","0RAj4cXWietdNzd94osANm","John Moulder","deep jazz guitar","initial",20," <a href=""https://www.last.fm/music/John+Moulder"">Read more on Last.fm</a>","3ONcanYtZHMVcgqPDAsVHd","Soul in Twilight","https://p.scdn.co/mp3-preview/e62b35fe59e9996fd8c1584cea9d134371b4f997","https://i.scdn.co/image/f744923d360f8027f88a8d2fc28217d4f2525094"
