Reporter,Partner,Product categories,Indicator Type,Indicator,Year,Indicator Value
Albania,World,Animal,Export,Export(US$ Mil),2015,19.44
Albania,World,Capital goods,Export,Export(US$ Mil),2015,54.36
Albania,World,Chemicals,Export,Export(US$ Mil),2015,8.77
Albania,World,Consumer goods,Export,Export(US$ Mil),2015,713.32
Albania,World,Food Products,Export,Export(US$ Mil),2015,44.08
Albania,World,Footwear,Export,Export(US$ Mil),2015,341.06
Albania,World,Fuels,Export,Export(US$ Mil),2015,170.01
Albania,World,Hides and Skins,Export,Export(US$ Mil),2015,17.82
Albania,World,Intermediate goods,Export,Export(US$ Mil),2015,413.46
Albania,World,Mach and Elec,Export,Export(US$ Mil),2015,44.39
Albania,World,Metals,Export,Export(US$ Mil),2015,188.21
Albania,World,Minerals,Export,Export(US$ Mil),2015,136.32
Albania,World,Miscellaneous,Export,Export(US$ Mil),2015,467.41
Albania,World,Plastic or Rubber,Export,Export(US$ Mil),2015,9.11
Albania,World,Raw materials,Export,Export(US$ Mil),2015,303.64
Albania,World,Stone and Glass,Export,Export(US$ Mil),2015,9.73
Albania,World,Textiles and Clothing,Export,Export(US$ Mil),2015,322.55
Albania,World,Transportation,Export,Export(US$ Mil),2015,8.73
Albania,World,Vegetable,Export,Export(US$ Mil),2015,76.76
Albania,World,Wood,Export,Export(US$ Mil),2015,65.26
Albania,World,Capital goods,Import,Import(US$ Mil),2015,547.36
Albania,World,Consumer goods,Import,Import(US$ Mil),2015,1833.23
Albania,World,Intermediate goods,Import,Import(US$ Mil),2015,959.43
Albania,World,Raw materials,Import,Import(US$ Mil),2015,312.54
Argentina,World,Animal,Export,Export(US$ Mil),2015,3933.0
Argentina,World,Capital goods,Export,Export(US$ Mil),2015,5759.89
Argentina,World,Chemicals,Export,Export(US$ Mil),2015,4426.05
Argentina,World,Consumer goods,Export,Export(US$ Mil),2015,9612.68
Argentina,World,Food Products,Export,Export(US$ Mil),2015,13779.04
Argentina,World,Footwear,Export,Export(US$ Mil),2015,16.85
Argentina,World,Fuels,Export,Export(US$ Mil),2015,1428.78
Argentina,World,Hides and Skins,Export,Export(US$ Mil),2015,883.28
Argentina,World,Intermediate goods,Export,Export(US$ Mil),2015,24791.1
Argentina,World,Mach and Elec,Export,Export(US$ Mil),2015,1359.54
Argentina,World,Metals,Export,Export(US$ Mil),2015,1340.5
Argentina,World,Minerals,Export,Export(US$ Mil),2015,814.23
Argentina,World,Miscellaneous,Export,Export(US$ Mil),2015,1173.4
Argentina,World,Plastic or Rubber,Export,Export(US$ Mil),2015,1176.82
Argentina,World,Raw materials,Export,Export(US$ Mil),2015,15513.32
Argentina,World,Stone and Glass,Export,Export(US$ Mil),2015,2646.36
Argentina,World,Textiles and Clothing,Export,Export(US$ Mil),2015,406.82
Argentina,World,Transportation,Export,Export(US$ Mil),2015,6279.75
Argentina,World,Vegetable,Export,Export(US$ Mil),2015,16493.46
Argentina,World,Wood,Export,Export(US$ Mil),2015,594.53
Argentina,World,Capital goods,Import,Import(US$ Mil),2015,23456.49
Argentina,World,Consumer goods,Import,Import(US$ Mil),2015,18681.99
Argentina,World,Intermediate goods,Import,Import(US$ Mil),2015,14508.12
Argentina,World,Raw materials,Import,Import(US$ Mil),2015,2155.39
Armenia,World,Animal,Export,Export(US$ Mil),2015,46.36
Armenia,World,Capital goods,Export,Export(US$ Mil),2015,28.69
Armenia,World,Chemicals,Export,Export(US$ Mil),2015,15.37
Armenia,World,Consumer goods,Export,Export(US$ Mil),2015,568.44
Armenia,World,Food Products,Export,Export(US$ Mil),2015,307.66
