,Good,Bad,DK,Categorization
United States,33,65,2,Advanced
Canada,67,32,1,Advanced
Britain,15,83,2,Advanced
France,9,91,0,Advanced
Germany,75,25,1,Advanced
Italy,3,96,0,Advanced
Greece,1,99,0,Advanced
Poland,27,70,2,Advanced
Czech Republic,20,80,1,Advanced
Russia,33,6,6,Advanced
Turkey,53,46,1,Emerging
Egypt,23,76,1,Emerging
Jordan,27,71,3,Developing
Lebanon,10,90,0,Developing
Palest. ter.,22,77,1,Developing
Tunisia,11,88,1,Developing
Israel,43,56,1,Developing
Australia,67,30,3,Advanced
China,88,10,3,Advanced
Indonesia,37,62,1,Emerging
Japan,27,71,1,Emerging
Malaysia,85,14,1,Advanced
Pakistan,17,81,3,Emerging
Philippines,68,31,0,Developing
South Korea,20,79,1,Developing
Argentina,39,58,3,Advanced
Bolivia,54,41,5,Emerging
Brazil,59,41,0,Developing
Chile,58,42,1,Emerging
El Salvador,33,67,0,Emerging
Mexico,38,62,1,Developing
Venezuela,44,56,1,Emerging
Ghana,37,63,1,Emerging
Kenya,52,47,0,Developing
Nigeria,32,67,1,Developing
Senegal,48,51,1,Developing
South Africa,53,45,1,Developing
Uganda,44,55,1,Emerging
,,,,Developing
