"","X","Address","Cuisine","DiningStyle","Restaurant","lon","lat"
"1",0,"134 Reade Street New York, NY 10013","Contemporary American","Fine Dining","Marc Forgione",-74.0095421,40.716545
"2",1,"211 East 43rd Street Basement New York, NY 10017","Japanese","Casual Elegant","Sakagura",-73.9731567,40.7512728
"3",2,"345 Park Avenue South New York, NY 10010","Contemporary American","Casual Elegant","Upland",-73.9847793,40.7417983
"4",3,"14 East 60th Street New York, NY 10022","Mediterranean","Casual Elegant","Avra Madison",-73.9717272,40.7643204
"5",4,"377 Greenwich Street The Greenwich Hotel New York, NY 10013","Italian","Casual Dining","Locanda Verde",-74.0094471,40.7217861
"6",5,"60 East 65th Street New York, NY 10065","French","Fine Dining","Daniel - Lounge Seating",-73.9677689,40.7666933
"7",6,"135 E. 92nd Street New York, NY 10028","Italian","Home Style","Sfoglia",-73.9529119,40.7835431
"8",7,"324 Lafayette Street New York, NY 10012","Bar","Casual Elegant","Gato",-73.9952233,40.725607
"9",8,"15 W 27th St New York, NY 10001","Indian","Casual Dining","Pondicheri Cafe",-73.9882462,40.7445059
"10",9,"35 West 13th Street New York, NY 10011","Italian","Casual Dining","Da Andrea",-73.9958123,40.7362477
"11",10,"773 10th Avenue New York, NY 10019","Middle Eastern","Casual Elegant","Taboon",-73.9910064,40.7662319
"12",11,"119 1st Ave. New York, NY 10003","Korean","Casual Dining","OIJI",-73.9858314,40.7272612
"13",12,"2751 Broadway New York, NY 10025","Contemporary American","Casual Elegant","Smoke Jazz and Supper Club",-73.968266,40.8011473
"14",13,"279a Newbury Street Boston, MA 02115","American","Casual Elegant","Cafeteria Boston",-71.0840573,42.3494005
"15",14,"154 East 79th Street New York, NY 10021","Organic","Casual Elegant","Candle 79",-73.9587231,40.7746521
"16",15,"Lincoln Center Plaza New York, NY 10023","American","Fine Dining","The Grand Tier Restaurant at The Metropolitan Opera",-73.9833418,40.7723986
"17",16,"1411 2nd Ave. New York, NY 10021","Thai","Casual Dining","Up Thai",-73.9579134,40.7699636
"18",17,"72 University Place New York, NY 10003","Vegetarian","Casual Dining","Nix",-73.993674,40.7332505
"19",18,"80 Spring Street New York, NY 10012","French","Casual Dining","Balthazar",-73.9982235,40.7226041
"20",19,"251 W. 72nd Street New York, NY 10023","Sushi","Casual Dining","Sushi Yasaka",-73.983408,40.7796602
"21",20,"1295 Madison Ave New York, NY 10028","Italian","Casual Elegant","Paola's Restaurant",-73.9556092,40.784769
"22",21,"1000 Madison Avenue New York, NY 10021","Italian","Casual Elegant","Sant Ambroeus - Madison Avenue",-73.9629886,40.7754159
"23",22,"1414 6th Avenue New York, NY 10019","American","Casual Elegant","Jams - NYC",-73.9764725,40.7647485
"24",23,"4 Park Avenue New York, NY 10016","Steakhouse","Casual Dining","Wolfgang's Steak House - Park Avenue",-73.9819473,40.7468785
"25",24,"461 5th Ave New York, NY 10017","Sushi","Fine Dining","Sushi Ginza Onodera",-73.9813925,40.7522359
"26",25,"14 Christopher St New York, NY 10014","Japanese","Fine Dining","Akashi",-74.0004187,40.7338037
"27",26,"1 Central Park West New York, NY 10023","French","Casual Elegant","Nougatine at Jean Georges",-73.9815581,40.76912
