DATE,A939RX0Q048SBEA_PCH
1947-04-01,-0.56242
1947-07-01,-0.55816
1947-10-01,1.10762
1948-01-01,1.02887
1948-04-01,1.22353
1948-07-01,0.13028
1948-10-01,-0.36143
1949-01-01,-1.79193
1949-04-01,-0.73133
1949-07-01,0.66974
1949-10-01,-1.34536
1950-01-01,3.54413
1950-04-01,2.65576
1950-07-01,3.41181
1950-10-01,1.47239
1951-01-01,0.96063
1951-04-01,1.33076
1951-07-01,1.59564
1951-10-01,-0.25207
1952-01-01,0.64148
1952-04-01,-0.18671
1952-07-01,0.29027
1952-10-01,2.81065
1953-01-01,1.47638
1953-04-01,0.40688
1953-07-01,-1.01308
1953-10-01,-1.97866
1954-01-01,-0.87958
1954-04-01,-0.30005
1954-07-01,0.67234
1954-10-01,1.45656
1955-01-01,2.42618
1955-04-01,1.21802
1955-07-01,0.88892
1955-10-01,0.11388
1956-01-01,-0.80824
1956-04-01,0.41647
1956-07-01,-0.54697
1956-10-01,1.13018
1957-01-01,0.22112
1957-04-01,-0.63208
1957-07-01,0.52208
1957-10-01,-1.46857
1958-01-01,-2.96274
1958-04-01,0.27473
1958-07-01,1.86800
1958-10-01,1.87042
1959-01-01,1.45206
1959-04-01,2.04045
1959-07-01,-0.62018
1959-10-01,-0.04666
1960-01-01,1.41207
1960-04-01,-0.73072
1960-07-01,-0.17388
1960-10-01,-1.65476
1961-01-01,0.28339
1961-04-01,1.47180
1961-07-01,1.24159
1961-10-01,1.59312
1962-01-01,1.43840
1962-04-01,0.72290
1962-07-01,0.56313
1962-10-01,-0.01647
1963-01-01,0.77971
1963-04-01,0.98071
1963-07-01,1.55930
1963-10-01,0.32938
1964-01-01,1.84273
1964-04-01,0.87350
1964-07-01,0.98964
1964-10-01,0.00000
1965-01-01,2.18445
1965-04-01,1.09385
1965-07-01,1.68972
1965-10-01,2.02604
1966-01-01,2.21439
1966-04-01,0.14909
1966-07-01,0.40473
1966-10-01,0.54673
1967-01-01,0.67278
1967-04-01,-0.16021
1967-07-01,0.58225
1967-10-01,0.51962
1968-01-01,1.81835
1968-04-01,1.45631
1968-07-01,0.44774
1968-10-01,0.17480
1969-01-01,1.34363
1969-04-01,0.09040
1969-07-01,0.34406
1969-10-01,-0.72861
1970-01-01,-0.42311
1970-04-01,-0.13441
1970-07-01,0.54704
1970-10-01,-1.37312
1971-01-01,2.36417
1971-04-01,0.28228
1971-07-01,0.46914
1971-10-01,-0.01274
1972-01-01,1.54963
1972-04-01,2.07367
1972-07-01,0.65943
1972-10-01,1.39160
1973-01-01,2.24336
1973-04-01,0.90670
1973-07-01,-0.78964
1973-10-01,0.68614
1974-01-01,-1.03193
1974-04-01,0.04722
1974-07-01,-1.21918
1974-10-01,-0.65693
1975-01-01,-1.40670
1975-04-01,0.52843
1975-07-01,1.35053
1975-10-01,1.08917
1976-01-01,2.03647
1976-04-01,0.54150
1976-07-01,0.25006
1976-10-01,0.48736
1977-01-01,0.92798
1977-04-01,1.71781
1977-07-01,1.48421
1977-10-01,-0.27491
1978-01-01,0.11394
1978-04-01,3.62361
1978-07-01,0.68379
1978-10-01,1.04511
1979-01-01,-0.05572
1979-04-01,-0.13938
1979-07-01,0.41523
1979-10-01,-0.05212
1980-01-01,0.04172
1980-04-01,-2.30061
1980-07-01,-0.44819
1980-10-01,1.57573
1981-01-01,1.86084
1981-04-01,-0.95314
1981-07-01,0.87166
1981-10-01,-1.42408
1982-01-01,-1.88296
1982-04-01,0.32521
1982-07-01,-0.61625
1982-10-01,-0.14695
1983-01-01,1.10557
1983-04-01,2.06980
1983-07-01,1.70783
1983-10-01,1.82278
1984-01-01,1.79015
1984-04-01,1.55080
1984-07-01,0.74081
1984-10-01,0.55152
1985-01-01,0.80831
1985-04-01,0.70319
1985-07-01,1.29230
1985-10-01,0.49910
1986-01-01,0.72941
1986-04-01,0.24651
1986-07-01,0.75616
1986-10-01,0.27762
1987-01-01,0.50502
1987-04-01,0.90810
1987-07-01,0.65995
1987-10-01,1.39766
1988-01-01,0.36150
1988-04-01,1.11280
1988-07-01,0.31569
1988-10-01,1.07111
1989-01-01,0.80839
1989-04-01,0.55822
1989-07-01,0.46776
1989-10-01,-0.05890
1990-01-01,0.86437
1990-04-01,0.07512
1990-07-01,-0.32807
1990-10-01,-1.20223
1991-01-01,-0.77360
1991-04-01,0.45526
1991-07-01,0.12180
1991-10-01,0.09336
1992-01-01,0.88466
1992-04-01,0.76764
1992-07-01,0.60053
1992-10-01,0.65222
1993-01-01,-0.10708
1993-04-01,0.28861
1993-07-01,0.14526
1993-10-01,1.01262
1994-01-01,0.70985
1994-04-01,1.07073
1994-07-01,0.26618
1994-10-01,0.82561
1995-01-01,0.07372
1995-04-01,0.06578
1995-07-01,0.53112
1995-10-01,0.40277
1996-01-01,0.40376
1996-04-01,1.45807
1996-07-01,0.59837
1996-10-01,0.73462
1997-01-01,0.49459
1997-04-01,1.22034
1997-07-01,0.93771
1997-10-01,0.46204
1998-01-01,0.73146
1998-04-01,0.69215
1998-07-01,0.99370
1998-10-01,1.33499
1999-01-01,0.54440
1999-04-01,0.54848
1999-07-01,0.93713
1999-10-01,1.43190
2000-01-01,0.03643
2000-04-01,1.63651
2000-07-01,-0.15228
2000-10-01,0.30279
2001-01-01,-0.51206
2001-04-01,0.29443
2001-07-01,-0.57594
2001-10-01,0.02254
2002-01-01,0.70083
2002-04-01,0.32895
2002-07-01,0.23197
2002-10-01,-0.18025
2003-01-01,0.30987
2003-04-01,0.70228
2003-07-01,1.42346
2003-10-01,0.92913
2004-01-01,0.37944
2004-04-01,0.51332
2004-07-01,0.65813
2004-10-01,0.61350
2005-01-01,0.85239
2005-04-01,0.30753
2005-07-01,0.58606
2005-10-01,0.31724
2006-01-01,0.98179
2006-04-01,0.07164
2006-07-01,-0.16772
2006-10-01,0.52449
2007-01-01,-0.15897
2007-04-01,0.53892
2007-07-01,0.41420
2007-10-01,0.10312
2008-01-01,-0.90090
2008-04-01,0.27721
2008-07-01,-0.72160
2008-10-01,-2.34229
2009-01-01,-1.58501
2009-04-01,-0.34085
2009-07-01,0.09619
2009-10-01,0.73463
2010-01-01,0.23320
2010-04-01,0.78046
2010-07-01,0.46801
2010-10-01,0.42196
2011-01-01,-0.55747
2011-04-01,0.55223
2011-07-01,0.00624
2011-10-01,0.92360
2012-01-01,0.49467
2012-04-01,0.29739
2012-07-01,-0.08180
2012-10-01,-0.18010
2013-01-01,0.54332
2013-04-01,0.02651
2013-07-01,0.56471
2013-10-01,0.76223
2014-01-01,-0.46877
2014-04-01,0.79843
2014-07-01,1.00267
2014-10-01,0.36135
2015-01-01,0.33433
2015-04-01,0.46926
2015-07-01,0.28260
2015-10-01,0.00587
2016-01-01,0.03914
2016-04-01,0.17605
2016-07-01,0.50768
