DATE,GPDI_PCH
1947-04-01,-3.89972
1947-07-01,1.15942
1947-10-01,23.78223
1948-01-01,9.25926
1948-04-01,6.56780
1948-07-01,4.37376
1948-10-01,-2.28571
1949-01-01,-15.98441
1949-04-01,-16.00928
1949-07-01,9.11602
1949-10-01,-5.06329
1950-01-01,24.53333
1950-04-01,11.99143
1950-07-01,12.04589
1950-10-01,16.72355
1951-01-01,-5.55556
1951-04-01,4.33437
1951-07-01,-8.01187
1951-10-01,-7.90323
1952-01-01,1.75131
1952-04-01,-8.77797
1952-07-01,7.92453
1952-10-01,6.11888
1953-01-01,1.64745
1953-04-01,0.64830
1953-07-01,-1.12721
1953-10-01,-8.14332
1954-01-01,-1.24113
1954-04-01,-0.53860
1954-07-01,6.49819
1954-10-01,5.25424
1955-01-01,10.62802
1955-04-01,5.82242
1955-07-01,2.75103
1955-10-01,5.62249
1956-01-01,-0.76046
1956-04-01,-1.66028
1956-07-01,1.68831
1956-10-01,-1.53257
1957-01-01,0.77821
1957-04-01,0.25740
1957-07-01,1.79718
1957-10-01,-10.46658
1958-01-01,-6.05634
1958-04-01,-2.39880
1958-07-01,10.59908
1958-10-01,11.11111
1959-01-01,4.00000
1959-04-01,7.45192
1959-07-01,-6.48770
1959-10-01,3.46890
1960-01-01,11.56069
1960-04-01,-9.74093
1960-07-01,-0.80367
1960-10-01,-12.03704
1961-01-01,3.15789
1961-04-01,7.27041
1961-07-01,8.08561
1961-10-01,2.20022
1962-01-01,5.59742
1962-04-01,-1.42712
1962-07-01,1.55119
1962-10-01,-3.25866
1963-01-01,4.94737
1963-04-01,1.90572
1963-07-01,2.95276
1963-10-01,2.48566
1964-01-01,3.07836
1964-04-01,0.00000
1964-07-01,1.90045
1964-10-01,2.13144
1965-01-01,10.00000
1965-04-01,0.39526
1965-07-01,3.30709
1965-10-01,1.98171
1966-01-01,7.77280
1966-04-01,-0.48544
1966-07-01,-0.20906
1966-10-01,1.88547
1967-01-01,-2.12474
1967-04-01,-3.71148
1967-07-01,3.85455
1967-10-01,3.43137
1968-01-01,3.11442
1968-04-01,4.33355
1968-07-01,-2.01385
1968-10-01,3.27553
1969-01-01,7.21393
1969-04-01,0.17401
1969-07-01,2.83729
1969-10-01,-3.37838
1970-01-01,-2.03963
1970-04-01,2.02261
1970-07-01,1.39942
1970-10-01,-4.08281
1971-01-01,13.60911
1971-04-01,4.11609
1971-07-01,2.43284
1971-10-01,-1.83078
1972-01-01,7.35887
1972-04-01,6.47887
1972-07-01,2.77778
1972-10-01,2.83140
1973-01-01,6.09095
1973-04-01,5.46599
1973-07-01,-1.45414
1973-10-01,6.28074
