numLikes,location,image_urls,numComments,Class 1,Class 2,Class 3,Class 4,Class 5,score 1,score 2,score 3,score 4,score 5,Object 1,Object 2,Object 3,Object 4,Object 5,Prob 1,Prob 2,Prob 3,Prob 4,Prob 5
536320,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.134.1080.1080/15034886_1876626959236811_1234558477737656320_n.jpg?ig_cache_key=MTM3OTYxMDk2MzU3MzkwMDU2MQ%3D%3D.2.c,2269,ping-pong ball,"solar dish, solar collector, solar furnace",planetarium,"patio, terrace","ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",0.108759254,0.088201717,0.018221417,0.015674837,0.01508465,building,architecture,modern,no person,urban,0.97946155,0.9701623,0.9679947,0.9660522,0.95991325
831822,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.134.1080.1080/14607005_1516652535017281_7577103139493380096_n.jpg?ig_cache_key=MTM3OTQxMDA0MzA2NTk5MDMzNA%3D%3D.2.c,2967,"parachute, chute","flagpole, flagstaff",balloon,"seashore, coast, seacoast, sea-coast",pole,0.941646218,0.003168992,0.001434121,0.001142788,0.000626729,air,balloon,sky,flying,freedom,0.99684787,0.9964829,0.99578667,0.9950093,0.9928111
508622,"Zanzibar, Tanzania",http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/15034706_353992658285543_5139443301883052032_n.jpg?ig_cache_key=MTM3OTM2NzU2NTIyNjQ5NDY5Nw%3D%3D.2,1787,"seashore, coast, seacoast, sea-coast","sandbar, sand bar",volleyball,"swimming trunks, bathing trunks",sarong,0.430791527,0.254410982,0.074492149,0.045073103,0.021567654,people,beach,travel,seashore,group,0.9957795,0.99042165,0.98633,0.9852483,0.9826493
774389,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14726441_721868474629205_3403138691562995712_n.jpg?ig_cache_key=MTM3ODg4OTczNjI3NDE2NjE1Ng%3D%3D.2,4009,weevil,banded gecko,"king snake, kingsnake",chain,"ground beetle, carabid beetle",0.171110153,0.066732071,0.022035934,0.021643765,0.019239664,no person,desktop,winter,one,snow,0.97315896,0.96234596,0.9534197,0.9431218,0.9281297
1056984,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.134.1080.1080/14624571_395315970857891_4138840192498794496_n.jpg?ig_cache_key=MTM3ODY3NzMwMDkyNTQ5MTU5OA%3D%3D.2.c,4005,bubble,"barrow, garden cart, lawn cart, wheelbarrow",park bench,toyshop,"greenhouse, nursery, glasshouse",0.722376585,0.053236648,0.015956357,0.010500687,0.008009209,people,child,tree,park,flower,0.9889009,0.9832505,0.9462037,0.9388467,0.92584085
864940,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.134.1080.1080/14730699_1267205116679085_4393362024633991168_n.jpg?ig_cache_key=MTM3ODY0NTE3NzQzMDUzNTU0NQ%3D%3D.2.c,3232,viaduct,pencil sharpener,steel arch bridge,pier,monastery,0.912936747,0.001652318,0.000887862,0.000507768,0.000440472,no person,travel,sky,outdoors,architecture,0.9918693,0.97974646,0.97178316,0.9587069,0.9432848
553618,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14704971_1784580928466372_88381605088854016_n.jpg?ig_cache_key=MTM3ODM2OTQ0NDA2OTMzNjcwNQ%3D%3D.2,4057,"dishwasher, dish washer, dishwashing machine","refrigerator, icebox","doormat, welcome mat",paintbrush,"washer, automatic washer, washing machine",0.373709172,0.293965638,0.035785183,0.032809608,0.027058369,fashion,woman,young,girl,pretty,0.99204654,0.99175715,0.98126155,0.9761889,0.9676985
469132,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14676491_1183393991741623_2135482439928119296_n.jpg?ig_cache_key=MTM3ODMzODczNDI0NzkxNjg3MQ%3D%3D.2,3752,Windsor tie,"suit, suit of clothes","bow tie, bow-tie, bowtie","groom, bridegroom","notebook, notebook computer",0.468784302,0.432316393,0.010087365,0.006513405,0.002169874,portrait,eyeglasses,people,one,man,0.9940212,0.9896185,0.98189396,0.9792455,0.97138757
755891,"Flatiron District, NYC",http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c91.0.898.898/14704998_708172346014022_3987243416206442496_n.jpg?ig_cache_key=MTM3ODMwODE0ODMxNzgyMDMzNA%3D%3D.2.c,2765,sundial,"unicycle, monocycle","maze, labyrinth",joystick,magnetic compass,0.8855533,0.010562691,0.004588061,0.00427291,0.002906722,people,road,group,travel,street,0.98869085,0.9611895,0.9611044,0.9511348,0.94166404
1212952,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14716644_1132216193522354_4640448860357918720_n.jpg?ig_cache_key=MTM3NzgyNTY4Mzc1MzY3NDE1Mg%3D%3D.2,5982,"lakeside, lakeshore",canoe,"valley, vale",alp,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",0.391919941,0.138190791,0.131481647,0.025554916,0.024440615,water,river,travel,nature,people,0.9958817,0.9816201,0.9782189,0.95681703,0.9552773
790090,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14718407_550976261759586_6328167555085107200_n.jpg?ig_cache_key=MTM3NzY0NDQ5NTE4ODgwODA4Mg%3D%3D.2,4063,shower cap,"bonnet, poke bonnet",maillot,bow,"bathing cap, swimming cap",0.950135767,0.002346385,0.001596278,0.001354198,0.000987745,people,adult,one,wear,man,0.98835355,0.9674988,0.96747017,0.9590249,0.9571618
1298346,Boardman Tree Farm,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.134.1080.1080/14733694_709595349188008_2754755885799571456_n.jpg?ig_cache_key=MTM3Njg4OTM0MzczNzY5NzQ2MA%3D%3D.2.c,6858,swing,sundial,folding chair,pole,shower curtain,0.448055297,0.027506916,0.014533673,0.012820654,0.012754196,wood,fall,outdoors,nature,leisure,0.9935971,0.9929826,0.9860521,0.98176813,0.9690962
1012896,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14727477_244108759338828_1817345798472466432_n.jpg?ig_cache_key=MTM3NjM1MzUxMzI2NDk0NTU3Nw%3D%3D.2,5841,"unicycle, monocycle","tricycle, trike, velocipede","mountain bike, all-terrain bike, off-roader","bicycle-built-for-two, tandem bicycle, tandem",moped,0.370572895,0.336710662,0.111327827,0.082123578,0.032169182,tree,no person,wood,nature,outdoors,0.9954678,0.9941617,0.9913496,0.9865837,0.9862621
1133347,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c136.0.807.807/14712091_354857254866943_6450752836610293760_n.jpg?ig_cache_key=MTM3NjE2NDIyMzcxMjkzODg2OQ%3D%3D.2.c,6421,"mountain bike, all-terrain bike, off-roader",moped,"bicycle-built-for-two, tandem bicycle, tandem",alp,"motor scooter, scooter",0.430134237,0.331577301,0.051385194,0.014673572,0.008010729,seated,biker,bike,cyclist,wheel,0.9979087,0.9963055,0.99502033,0.9943172,0.99352634
775684,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14712213_148041368999614_3623117531960573952_n.jpg?ig_cache_key=MTM3NTc0NjcxMzg0MzYzMzk1Mw%3D%3D.2,4248,"hip, rose hip, rosehip",pomegranate,"pot, flowerpot",earthstar,jack-o'-lantern,0.19161427,0.083379269,0.062299475,0.039897889,0.028873101,no person,tree,flower,garden,fruit,0.9801114,0.9663914,0.9653944,0.9530748,0.9454582
903398,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14716558_732036273612569_3967703982184333312_n.jpg?ig_cache_key=MTM3NTQ0MDQ4NzAxMTQ0MTMzNw%3D%3D.2,4723,"barrow, garden cart, lawn cart, wheelbarrow","shield, buckler",cloak,sarong,shovel,0.822416902,0.011451197,0.011128897,0.008014088,0.006871773,sand,desert,people,travel,beach,0.99221313,0.9876359,0.9785559,0.9753108,0.97137356
503747,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c99.0.882.882/14718427_1096628203740297_7142718462232625152_n.jpg?ig_cache_key=MTM3NDk5MDA1MjQ1OTY3MTc1NQ%3D%3D.2.c,3638,"sunglasses, dark glasses, shades",ski,thimble,"shoe shop, shoe-shop, shoe store",tray,0.092592858,0.041613769,0.037953436,0.035004698,0.034304168,woman,collection,people,fashion,man,0.98858047,0.98679197,0.9734799,0.9638792,0.947952
794232,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c94.0.561.561/14701260_714842411999272_6992351897717833728_n.jpg?ig_cache_key=MTM3NDkxMjAzMjQwNjc5NjU0Mg%3D%3D.2.c,3820,volcano,geyser,"parachute, chute",snowmobile,alp,0.12000525,0.036200676,0.01878413,0.017485673,0.016086929,snow,winter,people,one,girl,0.99095654,0.98619795,0.98037934,0.9503739,0.94816613
912259,"Chowk, Allahabad",http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14712211_1483849731625756_5178689746666258432_n.jpg?ig_cache_key=MTM3NDgwNzI4NTc5NzIyMTc1Ng%3D%3D.2,3982,stage,toyshop,"drum, membranophone, tympan","loudspeaker, speaker, speaker unit, loudspeaker system, speaker system","butcher shop, meat market",0.62182349,0.057398174,0.022651669,0.021947756,0.010804234,people,festival,market,street,group,0.9985101,0.9981886,0.9981873,0.99602056,0.9901936
1208496,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.134.1080.1080/14693940_1175738712519252_181156321771388928_n.jpg?ig_cache_key=MTM3NDUwMDI4MzU1NjQxNjEzOQ%3D%3D.2.c,7094,"studio couch, day bed","wardrobe, closet, press",window shade,"crib, cot",bassinet,0.072137997,0.050739352,0.047538258,0.044999797,0.03291259,room,indoors,people,furniture,fashion,0.9910315,0.99025744,0.973693,0.9696561,0.95391726
