releaseDate,publisher,gameName,exclusiveType
,,,
2007-10-23,Namco Bandai,Ace Combat 6: Fires of Liberation,Yes
2010-11-04,Konami,Adrenalin Misfits,Yes
2010-05-14,Microsoft Game Studios,Alan Wake,Console
2007-11-15,Ubisoft,America's Army: True Soldiers,Yes
2005-11-15,2K Sports,Amped 3,Yes
2006-09-14,Frontier Groove,AquaZone: Life Simulator,Yes
2008-11-11,Microsoft Game Studios,Banjo-Kazooie: Nuts & Bolts,Yes
2007-10-16,Namco Bandai Games,Beautiful Katamari,Yes
2006-12-07,Microsoft Game Studios,Blue Dragon,Yes
2011-10-25,505 Games,Blackwater (video game),Yes
2011-02-08,Namco Bandai,Body and Brain Connection,Yes
2006-08-03,Konami,Bomberman: Act Zero,Yes
2006-08-03,Hudson Soft,Bomberman Live,Yes
2006-07-27,Atari,Bullet Witch,Yes
2011-05-04,Take-Two Interactive,"Carnival Games: Monkey See, Monkey Do",Yes
2006-06-29,Sega,Chromehounds,Yes
2005-11-16,Sega,Condemned: Criminal Origins,Console
2012-03-27,GameMill Entertainment,Country Dance All Stars,Yes
2006-03-30,Masterpiece,The Conveni 200X,Yes
2007-02-20,Microsoft Game Studios,Crackdown,Yes
2010-07-06,Microsoft Game Studios,Crackdown 2,Yes
2006-09-30,Namco Bandai Games,Culdcept Saga,Yes
2010-11-04,MTV Games,Dance Central,Yes
2011-10-25,Microsoft Game Studios,Dance Central 2,Yes
2012-10-16,Microsoft Game Studios,Dance Central 3,Yes
2010-11-04,Konami,Dance Evolution / DanceMasters,Yes
2007-12-07,Konami,Dancing Stage Universe,Yes
2008-10-03,Konami,Dancing Stage Universe 2,Yes
2009-09-08,Phantom EFX,Darkest of Days,Console
2005-12-29,Tecmo,Dead or Alive 4,Yes
2006-11-13,Tecmo,Dead or Alive Xtreme 2,Yes
2006-08-08,Capcom,Dead Rising,Console
2009-04-23,Aksys Games,Deathsmiles,Console
2010-05-27,Cave,Deathsmiles II,Console
2008-12-25,5pb.,DoDonPachi Dai Ou Jou Black Label Extra,Yes
2012-10-16,Namco Bandai Games,Dragon Ball Z for Kinect,Yes
2005-12-10,Microsoft Game Studios,Every Party,Yes
2008-10-08,Microsoft Studios,Fable 2,Yes
2010-10-10,Microsoft Studios,Fable 3,Console
2014-02-07,Microsoft Studios,Fable: Anniversary,Console
2012-10-09,Microsoft Game Studios,Fable: The Journey,Yes
2011-04-12,THQ,Fantastic Pets,Yes
2012-10-23,Microsoft Game Studios,Forza Horizon,Yes
2007-05-24,Microsoft Game Studios,Forza Motorsport 2,Yes
2009-10-23,Microsoft Game Studios,Forza Motorsport 3,Yes
2011-10-11,Microsoft Game Studios,Forza Motorsport 4,Yes
2008-02-25,THQ,Frontlines: Fuel of War,Console
2006-02-10,Sega,Full Auto,Yes
2007-01-30,Microsoft Game Studios,Fuzion Frenzy 2,Yes
2010-11-18,Warner Bros. Interactive,Game Party: In Motion,Yes
2006-11-07,Microsoft Game Studios,Gears of War,Console
2008-11-07,Microsoft Game Studios,Gears of War 2,Yes
2011-09-20,Microsoft Game Studios,Gears of War 3,Yes
2013-03-19,Microsoft Game Studios,Gears of War: Judgment,Yes
2008-07-30,Activision,Geometry Wars: Retro Evolved 2,Yes
2007-11-29,Arc System Works,Guilty Gear 2: Overture,Console
2011-09-16,Microsoft Studios,The Gunstringer,Yes
2011-11-14,Microsoft Game Studios,Halo: Combat Evolved Anniversary,Yes
2007-09-25,Microsoft Game Studios,Halo 3,Yes
2009-09-22,Microsoft Game Studios,Halo 3: ODST,Yes
2012-11-06,Microsoft Game Studios,Halo 4,Yes
2010-09-14,Microsoft Game Studios,Halo: Reach,Yes
2009-02-26,Microsoft Game Studios,Halo Wars,Console
2012-10-09,Warner Bros. Interactive,Harry Potter for Kinect,Yes
2011-10-11,Majesco Games,Hulk Hogans Main Event,Yes
2009-08-16,Ska Studios,I MAED A GAM3 W1TH Z0MBIES 1N IT!!!1,Yes
2007-01-25,Namco Bandai,The Idolmaster,Yes
2008-02-28,Namco Bandai Games,The Idolmaster Live For You!,Yes
2009-03-12,Namco Bandai Games,The Idolmaster Twins,Yes
2006-07-27,Ubisoft,Import Tuner Challenge,Yes
2009-09-30,Destineer,Indianapolis 500: Evolution,Yes
2009-06-30,Playlogic International,Infernal,Console
2008-09-02,Microsoft Game Studios,Infinite Undiscovery,Yes
2011-11-08,Majesco Games,Jillian Michaels' Fitness Adventure,Yes
2005-11-09,Microsoft Game Studios,Kameo: Elements of Power,Yes
2007-09-07,Majesco,Kengo: Legend of the 9,Yes
2010-04-22,5pb.,Ketsui: Kizuna Jigoku Tachi EXTRA,Yes
,JSTV Media,Kinectalloons,Yes
2010-11-04,Microsoft Game Studios,Kinectimals,Yes
2010-11-04,Microsoft Game Studios,Kinect Adventures!,Yes
2011-11-15,Microsoft Game Studios,Kinect Disneyland Adventures,Yes
2010-11-04,Microsoft Game Studios,Kinect Joy Ride,Yes
,Microsoft Game Studios,Kinect Nat Geo TV,Yes
2012-03-20,Microsoft Studios,Kinect Rush: A Disney-Pixar Adventure,Yes
,Microsoft Studios,Kinect Sesame Street TV,Yes
2010-11-04,Microsoft Game Studios,Kinect Sports,Yes
2011-01-01,Microsoft Game Studios,Kinect Sports: Season Two,Yes
2012-04-03,Microsoft Game Studios,Kinect Star Wars,Yes
2007-12-13,Microsoft Game Studios,Kingdom Under Fire: Circle of Doom,Yes
2011-11-08,THQ,Leela,Yes
2008-11-17,Valve Corporation,Left 4 Dead,Console
2009-11-17,Valve Corporation,Left 4 Dead 2,Console
2011-11-07,2K Play,Lets Cheer,Yes
2008-11-18,Microsoft Game Studios,Lips,Yes
2009-11-13,Microsoft Game Studios,Lips: Canta en Español,Yes
2009-11-13,Microsoft Game Studios,Lips: Deutsche Partyknaller,Yes
2010-04-02,Microsoft Game Studios,Lips: I Love the 80's,Yes
2009-10-20,Microsoft Game Studios,Lips: Number One Hits,Yes
