"","gameName","votes","isListedOnMSSite","isOnXboxOne","isBCCompatible","isExclusive","isKinectSupported","isConsoleExclusive","isKinectRequired","gameUrl","releaseDate","numberOfReviews","DLthemes","developer","DLgameVideos","DLsmartglass","DLgamerPictures","highresboxart","DLavatarItems","ESRBRating","DLgameAddons","gamesOnDemandorArcade","price","genre","publisher","xbox360Rating","hasDemoAvailable","isAvailableToPurchaseDigitally","comments","isInProgress","reviewScorePro","reviewScoreUser","usesRequiredPeripheral"
"1640","'Splosion Man",2426,"TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/Splosion-Man/66acd000-77fe-1000-9115-d8025841098f?PageSize=60&Page=1&SortBy=BestSelling",2010-06-21,42086,0,"Twisted Pixel Games",1,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d8025841098f/1033/boxartlg.jpg",0,"E10 (Everyone 10+)",1,"Games on Demand",9.99,"Action & Adventure","Microsoft",4.25,"TRUE","TRUE",12,"FALSE",84,7.9,"FALSE"
"1","0 day Attack on Earth",327,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/0-day-Attack-on-Earth/66acd000-77fe-1000-9115-d802584109b7?PageSize=60&Page=1&SortBy=BestSelling",2009-12-23,7817,0,"Gulti CoLtd",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802584109b7/1033/boxartlg.jpg",0,"E10 (Everyone 10+)",2,"Games on Demand",14.99,"Shooter","Square-Enix",2.75,"TRUE","TRUE",1,"FALSE",41,4.5,"FALSE"
"1831","007 Legends",3155,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/007-Legends/66acd000-77fe-1000-9115-d802415608d8?PageSize=60&Page=1&SortBy=BestSelling",2012-10-16,2766,0,"Eurocom",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802415608d8/1033/boxartlg.jpg",0,"T (Teen)",0,"Retail Only",NA,"Shooter","Activision Blizzard",4,"FALSE","FALSE",41,"FALSE",45,4.4,"FALSE"
"1832","007: Quantum of Solace",3796,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/Quantum-of-Solace/66acd000-77fe-1000-9115-d802415607ff?PageSize=60&Page=1&SortBy=BestSelling",2008-01-01,23486,0,"Treyarch",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802415607ff/1033/boxartlg.jpg",0,"T (Teen)",0,"Retail Only",NA,"Action & Adventure","Activision Blizzard",4,"FALSE","FALSE",56,"FALSE",65,7.1,"FALSE"
"1917","10 Frame Bowling",1,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/10-Frame-Bowling/66acd000-77fe-1000-9115-d802584112af?PageSize=60&Page=1&SortBy=BestSelling",2013-03-12,3155,0,"Rare",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802584112af/1033/boxartlg.jpg",0,"E (Everyone)",0,"Games on Demand",1.99,"Family","Microsoft",3.25,"FALSE","TRUE",0,"FALSE",NA,NA,"FALSE"
"1047","1942: Joint Strike",1055,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/1942-Joint-Strike/66acd000-77fe-1000-9115-d802584108aa?PageSize=60&Page=1&SortBy=BestSelling",2009-12-16,7717,0,"Backbone Entertainment",1,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802584108aa/1033/boxartlg.jpg",0,"E10 (Everyone 10+)",0,"Games on Demand",9.99,"Action & Adventure","Capcom",3.5,"TRUE","TRUE",6,"FALSE",68,6.2,"FALSE"
"1094","2010 FIFA World Cup South Africa",1287,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/2010-FIFA-World-Cup/66acd000-77fe-1000-9115-d802454108e4?PageSize=60&Page=1&SortBy=BestSelling",2010-03-29,17203,0,"Ea Canada",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802454108e4/1033/boxartlg.jpg",0,"E (Everyone)",0,"Retail Only",NA,"Sports & Recreation","EA Sports",4.25,"FALSE","FALSE",22,"FALSE",83,8.1,"FALSE"
"802","3 on 3 NHL Arcade",1711,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/3-on-3-NHL-Arcade/66acd000-77fe-1000-9115-d80258410975?PageSize=60&Page=1&SortBy=BestSelling",2010-05-18,16289,0,"Electronic Arts Canada",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d80258410975/1033/boxartlg.jpg",0,"E (Everyone)",0,"Arcade",NA,"Sports & Recreation","EA Sports",4,"FALSE","FALSE",86,"FALSE",64,7.1,"FALSE"
"803","3 Point Contest",1,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/3-Point-Contest/66acd000-77fe-1000-9115-d802584112b6?PageSize=60&Page=1&SortBy=BestSelling",2012-11-20,9813,0,"Rare",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802584112b6/1033/boxartlg.jpg",0,"E (Everyone)",0,"Games on Demand",1.99,"Family","Microsoft",3.75,"FALSE","TRUE",0,"FALSE",NA,NA,"FALSE"
"801","3D Ultra Minigolf Adventures",1193,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/3D-Ultra-Minigolf/66acd000-77fe-1000-9115-d80258410841?PageSize=60&Page=1&SortBy=BestSelling",2010-01-06,12165,0,"Wanako Games",3,0,3,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d80258410841/1033/boxartlg.jpg",0,"E (Everyone)",1,"Games on Demand",4.99,"Sports & Recreation","Activision Blizzard",3.5,"TRUE","TRUE",49,"FALSE",66,6.1,"FALSE"
