"gameName","votes","isListedOnMSSite","isOnXboxOne","isBCCompatible","isExclusive","isKinectSupported","isConsoleExclusive","isKinectRequired","gameUrl","releaseDate","numberOfReviews","DLthemes","developer","DLgameVideos","DLsmartglass","DLgamerPictures","highresboxart","DLavatarItems","ESRBRating","DLgameAddons","gamesOnDemandorArcade","price","genre","publisher","xbox360Rating","hasDemoAvailable","isAvailableToPurchaseDigitally","comments","isInProgress","reviewScorePro","reviewScoreUser","usesRequiredPeripheral","predicted_isBCCompatible"
"0 day Attack on Earth",298,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/0-day-Attack-on-Earth/66acd000-77fe-1000-9115-d802584109b7?PageSize=60&Page=1&SortBy=BestSelling",223,7794,0,"Gulti CoLtd",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802584109b7/1033/boxartlg.jpg",0,"E10 (Everyone 10+)",2,"Games on Demand",14.99,"Shooter","Square-Enix",2.75,"TRUE","TRUE",1,"FALSE",41,4.5,"FALSE","FALSE"
"007 Legends",2884,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/007-Legends/66acd000-77fe-1000-9115-d802415608d8?PageSize=60&Page=1&SortBy=BestSelling",660,2761,0,"Eurocom",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802415608d8/1033/boxartlg.jpg",0,"T (Teen)",0,"Retail Only",21.53,"Shooter","Activision Blizzard",4,"FALSE","FALSE",34,"FALSE",45,4.5,"FALSE","FALSE"
"007: Quantum of Solace",3459,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/Quantum-of-Solace/66acd000-77fe-1000-9115-d802415607ff?PageSize=60&Page=1&SortBy=BestSelling",82,23482,0,"Treyarch",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802415607ff/1033/boxartlg.jpg",0,"T (Teen)",0,"Retail Only",20.43,"Action & Adventure","Activision Blizzard",4,"FALSE","FALSE",49,"FALSE",65,7.1,"FALSE","FALSE"
"10 Frame Bowling",1133.82421923052,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/10-Frame-Bowling/66acd000-77fe-1000-9115-d802584112af?PageSize=60&Page=1&SortBy=BestSelling",700,3109,0,"Rare",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802584112af/1033/boxartlg.jpg",0,"E (Everyone)",0,"Games on Demand",1.99,"Family","Microsoft",3.25,"FALSE","TRUE",28,"FALSE",64,6.4,"FALSE","FALSE"
"1942: Joint Strike",984,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/1942-Joint-Strike/66acd000-77fe-1000-9115-d802584108aa?PageSize=60&Page=1&SortBy=BestSelling",220,7704,0,"Backbone Entertainment",1,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802584108aa/1033/boxartlg.jpg",0,"E10 (Everyone 10+)",0,"Games on Demand",9.99,"Action & Adventure","Capcom",3.5,"TRUE","TRUE",4,"FALSE",68,6.2,"FALSE","FALSE"
"2010 FIFA World Cup South Africa",1195,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/2010-FIFA-World-Cup/66acd000-77fe-1000-9115-d802454108e4?PageSize=60&Page=1&SortBy=BestSelling",265,17200,0,"Ea Canada",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802454108e4/1033/boxartlg.jpg",0,"E (Everyone)",0,"Retail Only",19.34,"Sports & Recreation","Electronic Arts",4.25,"FALSE","FALSE",19,"FALSE",83,8.1,"FALSE","FALSE"
"3 on 3 NHL Arcade",1614,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/3-on-3-NHL-Arcade/66acd000-77fe-1000-9115-d80258410975?PageSize=60&Page=1&SortBy=BestSelling",294,16289,0,"Electronic Arts Canada",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d80258410975/1033/boxartlg.jpg",0,"E (Everyone)",0,"Arcade",20.92,"Sports & Recreation","Electronic Arts",4,"FALSE","FALSE",77,"FALSE",64,7.1,"FALSE","FALSE"
"3 Point Contest",1149.66612408619,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/3-Point-Contest/66acd000-77fe-1000-9115-d802584112b6?PageSize=60&Page=1&SortBy=BestSelling",671,9747,0,"Rare",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802584112b6/1033/boxartlg.jpg",0,"E (Everyone)",0,"Games on Demand",1.99,"Family","Microsoft",3.75,"FALSE","TRUE",26,"FALSE",66,6.7,"FALSE","FALSE"
"3D Ultra Minigolf Adventures",1128,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/3D-Ultra-Minigolf/66acd000-77fe-1000-9115-d80258410841?PageSize=60&Page=1&SortBy=BestSelling",227,12150,0,"Wanako Games",3,0,3,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d80258410841/1033/boxartlg.jpg",0,"E (Everyone)",1,"Games on Demand",4.99,"Sports & Recreation","Activision Blizzard",3.5,"TRUE","TRUE",44,"FALSE",66,6.1,"FALSE","FALSE"
"50 Cent: Blood on the Sand",2548,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/50-Cent-BotS/66acd000-77fe-1000-9115-d8025451083b?PageSize=60&Page=1&SortBy=BestSelling",136,53512,0,"Swordfish Studios",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d8025451083b/1033/boxartlg.jpg",0,"M (Mature)",0,"Retail Only",20.33,"Action & Adventure","THQ Nordic",3.75,"FALSE","FALSE",53,"FALSE",71,6.4,"FALSE","FALSE"
