x,sentiment
"@damprice Our media is out of touch with the British people, e.g. over #BRExit, because they don't hire many ordinary working class people.",0
OOOPS! UK inflation jumps from 0.9% in Oct to 1.2% in Nov thanks to #Brexit. Going to get worse. https://t.co/TIJ53fukcE,0
Meanwhile EU Commission proposing changes to rules on benefits &amp; free movement this week-another claimed argument f‰Û_ https://t.co/HnDODfVxJQ,-1
@daraobriain @funnylaunderer could you bring us all back a pre #Brexit #Toblerone. Please,0
Wages down. Remove minimum wage. Low taxes for the rich. #Brexit Britain from @DanielJHannan @BorisJohnson @michaelgove @Clark_Barrett84,-1
"@asphodelia @annetteashley61 ""There is no reason for delay stop"" sounds like #Remain? I agree we should just stop #Brexit",0
Stupid #Tories killed manufactoring now going to kill #thecity.  #FoolBritania #brexit https://t.co/7kJv0A1Suz,0
"Enjoyed discussing books for #Brexit - from Aristotle to Ali Smith - on @BBCFreeThinking with @edithmayhall, @Elif_Safak, &amp; @alanmendoza.",-1
Cognitive dissonance a la #Brexit. (Head explodes). https://t.co/JFcqhBvOzf,-1
This is how I get my post now #Brexit https://t.co/tgGCZhIihv,-1
#Brexit disaster - uniquely dependent on foreign investment.  UK's $511bn  exports not far off Belgium‰Ûªs $472bn https://t.co/FYu3FZf1cS,0
"@Nick_Hoadley Yep, but they stopped mentioning #BRExit because people were laughing at them.",-1
@McDonaldsUK why are ketchup dips 17ml and barbecue 25ml? Is this a post #Brexit shrinking or have I never noticed before?,-1
From the US: Hard to exaggerate the scale of the disaster of  #Brexit  to British business https://t.co/FYu3FZf1cS,0
@f1lover75 might affect my status in this country when #brexit finally starts next year.,0
"#brexit , #Trump election are the #LitmusTest of #faileddemocracies where people are not given means to truly under‰Û_ https://t.co/pM9mSX7vgw",0
Spoken word :) #spokenword #brexit #MAActing https://t.co/yaDIWPukaX,-1
"#SNP The UK pays in to the #EU but Scotland gets the rebates so stop the back stabbing and acting like parasites, we voted and won #BREXIT",1
"#SNP When Scottish people voted to stay with the UK they knew we was having a #Brexit vote so shut up back stabbers, not impressed at all",1
"#SNP shut up about #Brexit you had your say twice now in votes and got 56 seats when more people voted for #UKIP than you, got just 1 seat",-1
What the #SupremeCourt judgment could mean.....for #Brexit https://t.co/yWICZtMIJk,-1
Why vote #Labour or anyone since our MP's doing understand democracy when it comes to the #Brexit vote that most pe‰Û_ https://t.co/yZWugxi9id,-1
@LisaAppignanesi @BBCNewsnight Our version of democracy is trash. Obvious rcntly: Clegg/Cameron coalition; Cameron #EUre; #Mayfail #Brexit,0
I bet the fox understands democracy mark and it's a shame you disrespect the will of the people when it comes to th‰Û_ https://t.co/ekEmhZx2kQ,1
Coming tomorrow - articles on Englishness and #Brexit,-1
"#Brexit #Farage has the last laugh on us all. ""My work is done  suckers - Long Live the Establishment"" https://t.co/Y7r7xyz7y7",1
@almaniscrowd What happens after Brexit? where does Britain go next? #forecast #brexit https://t.co/PHeAyThBVf,-1
https://t.co/Jm2eJC4ajV Tory #brexit rebellion could force PM to reveal EU exit plans,-1
@DavidHeadViews What part of democracy are you having trouble understanding about our #Brexit vote or is it all too complicated for you,1
This made me question my own views on #brexit Always good to listen to stuff that challenges your own views https://t.co/ETCa4wD2LX,-1
Lol ’Ê_’_ã#Christmas #Brussels sprout #farage #brexit https://t.co/kusgHdVy7k,-1
Welcome to the Britain the Left have tried to destroy. #brexit https://t.co/2kOKvmzmrn,1
Why is UK #inflation rising so quickly? Blame #Brexit and the oil price https://t.co/LVVtVOW2P8,0
@marydejevsky @IrelandEmbGB Thanks for being there. Glad you approved of my #Brexit comments.,-1
"So the referendum was won by UKIP crooks, Brexit liars, the conniving press and Russia's KGB. Burning skulduggery. #brexit #Remain",0
Russians definitely applying #PoliticalTechnology across theatres now. #Brexit vote was too big for them to have ti‰Û_ https://t.co/TpIwQqIDzQ,0
"Beware pollsters, but @IpsosMORI @BobbyIpsosMORI are right. We must watch your own personal. #posttruth #brexit‰Û_ https://t.co/4GBx52qkBp",-1
#Brexit @sturdyAlex on the money here. https://t.co/5UDnOHBuFm,-1
"Also, I'm eager to learn of #Brexit voters' views on quantitative easing. Should it be tapered now or in Q1 2017? Let's have a referendum!",0
I wonder whether the tracksuit-wearing chavs who voted for #Brexit would like to enlighten us how to bring inflation down now. Hmm?,0
"HYPOCRITS. How Labour betrayed us, our democracy &amp; the people they CLAIM to represent. Sick of Remainers. #brexit‰Û_ https://t.co/S9os5G0BfU",1
if you voted #brexit you have no right to complain about rising prices. take responsibility for your decisions. food petrol electrical..,0
"Petrol is going up because the oil price has risen, not #BRExit #BBCNews",-1
Inlation gone up .3% #Brexit of course #BBCnew,-1
Customs Union is a misnomer. We should Leave it. #brexit #flexcit https://t.co/yh8KqNvXre https://t.co/UtmfysJG0K,1
We may have voted for Brexit but those Frenchies are still coming to Crouch End. #brexit #crouchend https://t.co/cCl0p8SPhR,0
Everything you need to know about the current status of the Supreme Court ruling https://t.co/kTwKW2mlrX #labour‰Û_ https://t.co/YRYKQnAJxr,-1
"@lilleypeter Peter Lilley (of dulwich Coll, oxbridge, French hol. home) determined to reck UK economy to satisfy his own RW ideology #brexit",0
"12 Days of Christmas #brexit poll stats(1): 94% of those who voted, say they would vote the same way in a repeat of the #eureferendum.",-1
Festive celebration cards all ready to send out! #SaveChristmas #brexit #EU27 #Article50 #multicultural https://t.co/vG4km1ML8p,-1
I have literally zero time for ridiculous conspiracy theories #Russia #Brexit #Trump,1
"Watch @YvetteCooperMP, @cyberleagle, EFTA official, police chief, QC and me speak and field #Brexit questions:  https://t.co/0hH4ycf9Jg",-1
President Obama likely influenced #brexit he spoke &amp; we all voted Leave ! ’Ê_’ü #POTUS2016 https://t.co/7NLTjy15NQ,1
Yeah apparently they released top secret info on WTO ISO's EFTA &amp; how global trade works ! ’Ê_’ü ’Ê_’ü  #Brexit https://t.co/7NLTjy15NQ,-1
@diponte because for the first time Parliament said that it wanted to see the govt #Brexit plan before triggering A50.,-1
"well, not until we've left the EU, he won't...because UK can't negotiate anything #brexit https://t.co/nmnPeZtmN3",0
"200,000 jobs. That's equivalent to a town the size of Southampton, all out of jobs. #Brexit",0
The woman who brought the Brexit case before the High Court has received death threats https://t.co/c1yVR06OwO #brexit #law #UK,-1
"So 200,000 jobs at risk from next year unless we confirm Single Market access post-#Brexit. A national emergency &amp; needs to be addressed now",0
