Region,Causes, Both sexes (2012), Female (2012), Male (2012), Both sexes (2000), Female (2000), Male (2000),Group
Lower-middle-income, Communicable &amp; other Group I,6368915,3086074,3282841,8132765,3952423,4180342,LargeSubgroup
Lower-middle-income, Infectious and parasitic diseases,3251309,1549958,1701351,4327149,2047193,2279956,Subgroup
Lower-middle-income, Tuberculosis,523290,187231,336059,791301,295565,495736,Inf.Para
Lower-middle-income, STDs excluding HIV,39237,20202,19035,68464,35259,33205,Inf.Para
Lower-middle-income, Syphilis,37383,18348,19035,66411,33206,33205,Inf.Para
Lower-middle-income, Chlamydia,439,439,0,482,482,0,Inf.Para
Lower-middle-income, Gonorrhoea,324,324,0,358,358,0,Inf.Para
Lower-middle-income, Trichomoniasis,0,0,0,0,0,0,Inf.Para
Lower-middle-income, Other STDs,1094,1094,0,1216,1216,0,Inf.Para
Lower-middle-income, HIV/AIDS,571325,267456,303869,465330,215948,249382,Inf.Para
Lower-middle-income, Diarrhoeal diseases,923353,511056,412297,1302339,686584,615755,Inf.Para
Lower-middle-income, Childhood-cluster diseases,150429,79011,71418,521997,262484,259513,Inf.Para
Lower-middle-income, Whooping cough,35054,16329,18725,36855,17417,19438,Inf.Para
Lower-middle-income, Diphtheria,1538,760,778,3384,1730,1654,Inf.Para
Lower-middle-income, Measles,70383,37172,33211,370815,185965,184850,Inf.Para
Lower-middle-income, Tetanus,43453,24751,18702,110946,57373,53573,Inf.Para
Lower-middle-income, Meningitis,201703,94948,106755,245293,117021,128272,Inf.Para
Lower-middle-income, Encephalitis,55855,27888,27967,74828,38826,36002,Inf.Para
Lower-middle-income, Acute hepatitis B,86081,36379,49702,62812,27711,35101,Inf.Para
Lower-middle-income, Acute hepatitis C,10431,5524,4907,7256,3600,3656,Inf.Para
Lower-middle-income, Parasitic and vector diseases,383174,177348,205826,515525,239363,276162,Inf.Para
Lower-middle-income, Malaria,299280,142315,156965,409941,199689,210252,Inf.Para
Lower-middle-income, Trypanosomiasis,574,277,297,4601,2135,2466,Inf.Para
Lower-middle-income, Chagas disease,61,25,36,39,17,22,Inf.Para
Lower-middle-income, Schistosomiasis,6661,3383,3278,5694,2757,2937,Inf.Para
Lower-middle-income, Leishmaniasis,31223,9770,21453,47536,14303,33233,Inf.Para
Lower-middle-income, Lymphatic filariasis,0,0,0,0,0,0,Inf.Para
Lower-middle-income, Onchocerciasis,0,0,0,0,0,0,Inf.Para
Lower-middle-income, Leprosy,6328,2402,3926,6350,2409,3941,Inf.Para
Lower-middle-income, Dengue,21881,11988,9893,13139,6473,6666,Inf.Para
Lower-middle-income, Trachoma,0,0,0,0,0,0,Inf.Para
Lower-middle-income, Rabies,17174,7192,9982,28232,11583,16649,Inf.Para
Lower-middle-income, Intestinal nematode infections,2310,1096,1214,1815,851,964,Inf.Para
Lower-middle-income, Ascariasis,2310,1096,1214,1815,851,964,Inf.Para
Lower-middle-income, Trichuriasis,0,0,0,0,0,0,Inf.Para
Lower-middle-income, Hookworm disease,0,0,0,0,0,0,Inf.Para
Lower-middle-income, Other infectious diseases,304127,141822,162305,270198,123988,146210,Inf.Para
Lower-middle-income, Respiratory infections,1328145,633109,695036,1592143,768201,823942,Inf.Para
Lower-middle-income, Lower respiratory infections,1325153,631654,693499,1588341,766351,821990,Inf.Para
Lower-middle-income, Upper respiratory infections,1765,835,930,2059,984,1075,Inf.Para
Lower-middle-income, Otitis media,1227,619,608,1745,868,877,Inf.Para
Lower-middle-income, Maternal conditions,143944,143944,0,214203,214203,0,Maternal
Lower-middle-income, Neonatal conditions,1441043,646035,795008,1737482,783937,953545,Subgroup
Lower-middle-income, Preterm birth complications,702977,318229,384748,735128,336070,399058,Neonatal
Lower-middle-income, Birth asphyxia and birth trauma,404323,175875,228448,580017,248836,331181,Neonatal
Lower-middle-income, Neonatal sepsis and infections,254521,114055,140466,331648,156543,175105,Neonatal
Lower-middle-income, Other neonatal conditions,79221,37875,41346,90690,42487,48203,Neonatal
Lower-middle-income, Nutritional deficiencies,204480,113030,91450,261792,138889,122903,Subgroup
Lower-middle-income, Protein-energy malnutrition,171937,94790,77147,234176,124407,109769,NutritionalDeficiency
Lower-middle-income, Iodine deficiency,1003,564,439,382,192,190,NutritionalDeficiency
Lower-middle-income, Vitamin A deficiency,0,0,0,0,0,0,NutritionalDeficiency
Lower-middle-income, Iron-deficiency anaemia,29684,16683,13001,25786,13541,12245,NutritionalDeficiency
Lower-middle-income, Other nutritional deficiencies,1860,995,865,1445,749,696,NutritionalDeficiency
